TAG_NUMBER,catchAREA,Y,X,DATE,BOAT,GearType,Company
111573,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111602,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111608,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111612,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111617,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111660,Wolfs Bank,44.87583333,-66.7175,2019-10-14,Brunswick Provider,Purse Seine,Connors
111829,Wolfs Bank,44.875,-66.71883333,2019-10-15,Canada 100,Purse Seine,Connors
204235,Northeast Bank,44.4,-66.75,2019-06-18,Brunswick Provider,Purse Seine,Connors
204236,Prong,44.41666667,-66.71666667,2019-06-20,Brunswick Provider,Purse Seine,Connors
204314,Spruce Island Weir,45.02566667,-66.86,2019-09-09,Senator Neil,Weir,Connors
205442,Seal Island,43.35,-66.19166667,2019-10-14,Leroy and Barry,Purse Seine,Scotia Gardens
208065,German Bank,43.3,-66.35,2019-09-27,Morning Star,Purse Seine,Scotia Gardens
208140,German Bank,43.38766667,-66.38716667,2019-09-27,Leroy and Barry,Purse Seine,Scotia Gardens
408257,German Bank,43.297,-66.36283333,2019-09-27,Brunswick Provider,Purse Seine,Connors
414521,McDormant Patch,44.0885,-66.47533333,2019-09-06,Canada 100,Purse Seine,Connors
414703,Scots Bay,45.106,-65.06133333,2019-09-04,Canada 100,Purse Seine,Connors
414708,Scots Bay,45.15,-64.91666667,2019-09-03,Brunswick Provider,Purse Seine,Connors
414738,Scots Bay,45.2,-64.86666667,2019-09-16,Brunswick Provider,Purse Seine,Connors
414789,Scots Bay,45.106,-65.06133333,2019-09-04,Canada 100,Purse Seine,Connors
414867,Scots Bay,45.106,-65.06133333,2019-09-04,Canada 100,Purse Seine,Connors
415483,McDormant Patch,44.122,-66.46816667,2019-07-29,Canada 100,Purse Seine,Connors
416008,Scots Bay,45.18,-65,2019-08-06,Sealife II,Purse Seine,Comeau Sea Foods
416345,Scots Bay,45.18333333,-64.86666667,2019-08-06,Fundy Monarch,Purse Seine,Connors
416352,Scots Bay,45.167,-65.05066667,2019-08-06,Lady Janice,Purse Seine,Connors
416466,Sandy Cove NS,44.5,-66.1,2019-09-17,Brunswick Provider,Purse Seine,Connors
416516,Scots Bay,45.1855,-64.97466667,2019-08-05,Canada 100,Purse Seine,Connors
416636,Sandy Cove NS,44.5,-66.08333333,2019-09-06,Brunswick Provider,Purse Seine,Connors
416653,Scots Bay,45.16666667,-64.88333333,2019-08-21,Fundy Monarch,Purse Seine,Connors
416691,Scots Bay,45.16666667,-64.88333333,2019-08-21,Fundy Monarch,Purse Seine,Connors
417007,Southwest Bank,44.16233333,-67.093,2016-07-14,Canada 100,Purse Seine,Connors
417029,Southwest Bank,44.2555,-67.01716667,2016-08-11,Canada 100,Purse Seine,Connors
417050,Northeast Bank,44.30333333,-67.11516667,2016-08-18,Canada 100,Purse Seine,Connors
417180,Southwest Bank,44.125,-67.121,2016-08-04,Canada 100,Purse Seine,Connors
417442,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
417451,Northeast Bank,44.21666667,-67.05,2016-08-24,Margaret Elizabeth,Purse Seine,Connors
417464,Northeast Bank,44.26666667,-67,2016-08-29,Margaret Elizabeth,Purse Seine,Connors
417479,Southwest Bank,44.258,-66.99833333,2016-08-22,Canada 100,Purse Seine,Connors
417500,Southwest Bank,44.16666667,-67.08333333,2016-07-14,Margaret Elizabeth,Purse Seine,Connors
417512,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
417617,Northeast Bank,44.31666667,-66.96666667,2016-08-17,Brunswick Provider,Purse Seine,Connors
417623,Southwest Bank,44.12166667,-67.15316667,2016-07-25,Brunswick Provider,Purse Seine,Connors
417729,Southwest Bank,44.095,-67.1285,2016-08-08,Canada 100,Purse Seine,Connors
417874,Northeast Bank,44.32483333,-66.95416667,2016-08-31,Brunswick Provider,Purse Seine,Connors
417887,Northeast Bank,44.25,-67.05,2016-09-07,Margaret Elizabeth,Purse Seine,Connors
417955,Southwest Bank,44.258,-66.99833333,2016-08-22,Canada 100,Purse Seine,Connors
418119,Northeast Bank,44.25566667,-67.0345,2016-09-09,Canada 100,Purse Seine,Connors
418175,Northeast Bank,44.28433333,-67.0095,2016-09-01,Canada 100,Purse Seine,Connors
418251,Grand Manan,44.71666667,-66.7,2016-11-08,Margaret Elizabeth,Purse Seine,Connors
418584,Scots Bay,45.31666667,-64.915,2016-07-19,Silver Harvester,Purse Seine,CapeBreeze
418802,Southwest Bank,44.15,-67.06666667,2016-07-13,Margaret Elizabeth,Purse Seine,Connors
418828,Northeast Bank,44.256,-67.03466667,2016-09-06,Canada 100,Purse Seine,Connors
418844,Northeast Bank,44.26566667,-67.11516667,2016-08-16,Canada 100,Purse Seine,Connors
419130,Southwest Bank,44.15,-67.1,2016-07-27,Brunswick Provider,Purse Seine,Connors
419252,German Bank,43.5,-66.75,2016-06-21,Lady Melissa,Purse Seine,Comeau Sea Foods
419373,German Bank,43.45,-66.33333333,2016-08-25,Sealife II,Purse Seine,Sealife
419513,Tear Drop,43.6,-66.91666667,2016-06-28,Morning Star,Purse Seine,Scotia Gardens
419530,Tear Drop,43.55,-66.96666667,2016-06-17,Lady Janice,Purse Seine,Sealife
419581,German Bank,43.55,-66.96666667,2016-06-17,Lady Janice,Purse Seine,Comeau Sea Foods
419705,Tear Drop,43.6,-66.9,2016-06-27,Margaret Elizabeth,Purse Seine,Connors
419770,Scots Bay,45.28333333,-64.85,2016-07-19,Margaret Elizabeth,Purse Seine,Connors
419912,Scots Bay,NA,NA,2017-01-20,Canada 100,Purse Seine,Connors 
420289,Area 1B,42,69.83,2017-03-01,Dyrsten,Mid Water Trawl,Connors
420572,Tear Drop,43.61666667,-66.9,2017-06-09,Sealife II,Purse Seine,Sealife
420613,Area 1B,42,69.83,2017-02-01,Osprey,Mid Water Trawl,Connors 
420714,Scots Bay,45.21666667,-64.8,2016-07-31,Morning Star,Purse Seine,Scotia Gardens
420881,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
420894,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
420908,German Bank,43.46666667,-66.33333333,2016-09-02,Lady Janice,Purse Seine,Comeau Sea Foods
420925,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
420927,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
420971,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
420973,NW of German Bank,43.51666667,-66.66666667,2016-07-05,Sealife II,Purse Seine,Comeau Sea Foods
421170,Scots Bay,45.15466667,-64.99533333,2016-08-15,Canada 100,Purse Seine,Connors
421549,German Bank,43.43333333,-66.33333333,2016-08-29,Lady Janice,Purse Seine,Sealife
421619,Scots Bay,45.15,-65.03333333,2016-08-16,Morning Star,Purse Seine,Scotia Gardens
421726,German Bank,43.43333333,-66.31666667,2016-08-25,Leroy and Barry,Purse Seine,Scotia Gardens
421727,Tear Drop,43.45,-66.73333333,2016-07-06,Lady Melissa,Purse Seine,Sealife
421745,German Bank,43.36666667,-66.33333333,2016-08-22,Morning Star,Purse Seine,Scotia Gardens
421877,SpawnTow,43.41666667,-66.35,2016-08-24,Sealife II,Purse Seine,Sealife
422113,Tear Drop,43.4,-66.92333333,2016-07-07,Silver Harvester,Purse Seine,CapeBreeze
422173,Northeast Bank,NA,NA,2016-09-30,Canada 100,Purse Seine,Connors
422315,German Bank,43.494,-66.8,2016-07-06,Brunswick Provider,Purse Seine,Connors
422345,German Bank,43.41666667,-66.33333333,2016-08-30,Sealife II,Purse Seine,Sealife
422788,German Bank,43.45,-66.33333333,2016-08-31,Leroy and Barry,Purse Seine,Scotia Gardens
422812,Northeast Bank,44.28333333,-66.96666667,2016-10-14,Margaret Elizabeth,Purse Seine,Connors
422951,German Bank,43.41666667,-66.31666667,2016-08-16,Silver Harvester,Purse Seine,CapeBreeze
423063,German Bank,43.45,-66.33333333,2016-08-25,Margaret Elizabeth,Purse Seine,Connors
423308,Gully 4Xq,43.38333333,-66.4,2016-08-04,Morning Star,Purse Seine,Scotia Gardens
423309,White Head Grand Manan,44.65,-66.65,2016-10-31,Margaret Elizabeth,Purse Seine,Connors
423592,German Bank,43.33333333,-66.41666667,2016-08-11,Morning Star,Purse Seine,Scotia Gardens
423786,German Bank,43.45133333,-66.3405,2017-09-07,Brunswick Provider,Purse Seine,Connors 
424951,German Bank,43.45,-66.33333333,2016-08-17,Lady Janice,Purse Seine,Connors
424996,German Bank,43.35,-66.4,2016-08-10,Leroy and Barry,Purse Seine,Scotia Gardens
425060,Southwest Bank,44.13333333,-67.1,2016-07-22,Brunswick Provider,Purse Seine,Connors
425061,Northeast Bank,44.21666667,-67.05,2016-08-24,Margaret Elizabeth,Purse Seine,Connors
425064,Northeast Bank,44.28333333,-67,2016-09-01,Margaret Elizabeth,Purse Seine,Connors
425379,White Head Grand Manan,44.64866667,-66.65933333,2016-10-31,Canada 100,Purse Seine,Connors
425765,Northeast Bank,44.25066667,-67.04283333,2016-09-07,Canada 100,Purse Seine,Connors
425773,Southwest Bank,44.11866667,-67.1475,2016-07-28,Brunswick Provider,Purse Seine,Connors
425809,Northeast Bank,44.258,-66.99833333,2016-08-22,Canada 100,Purse Seine,Connors
426117,White Head Grand Manan,44.65,-66.65,2016-10-20,Margaret Elizabeth,Purse Seine,Connors
426125,Northeast Bank,44.31666667,-66.96666667,2016-08-17,Brunswick Provider,Purse Seine,Connors
426139,Southwest Bank,44.26666667,-67.01666667,2016-08-11,Margaret Elizabeth,Purse Seine,Connors
426195,Northeast Bank,44.25066667,-67.04283333,2016-09-07,Canada 100,Purse Seine,Connors
426234,Northeast Bank,44.28333333,-67.02333333,2016-09-02,Canada 100,Purse Seine,Connors
426247,White Head Grand Manan,44.65,-66.65,2016-10-14,Brunswick Provider,Purse Seine,Connors
426370,Prong,NA,NA,2016-11-16,Canada 100,Purse Seine,Connors
426400,Southwest Bank,44.26666667,-67.01666667,2016-08-11,Margaret Elizabeth,Purse Seine,Connors
426486,Northeast Bank,44.23333333,-67.03333333,2016-09-08,Margaret Elizabeth,Purse Seine,Connors
426494,Grand Manan Banks,44.28333333,-66.95,2016-08-31,Margaret Elizabeth,Purse Seine,Connors
426501,Prong,44.423,-66.77616667,2016-09-20,Canada 100,Purse Seine,Connors
426600,Prong,44.423,-66.77616667,2016-09-20,Canada 100,Purse Seine,Connors
426633,Northeast Bank,44.25,-67.11666667,2016-09-09,Brunswick Provider,Purse Seine,Connors
426682,Prong,44.41666667,-66.76666667,2016-09-20,Margaret Elizabeth,Purse Seine,Connors
426821,German Bank,43.46166667,-66.34666667,2016-09-07,Morning Star,Purse Seine,Scotia Gardens
426936,Northeast Bank,44.26666667,-66.96666667,2016-08-19,Sealife II,Purse Seine,Sealife
427393,Northeast Bank,44.31666667,-66.96666667,2016-08-17,Brunswick Provider,Purse Seine,Connors
427496,Northeast Bank,44.256,-67.03466667,2016-09-06,Canada 100,Purse Seine,Connors
427727,Northeast Bank,44.25316667,-67.02166667,2016-08-25,Canada 100,Purse Seine,Connors
427813,Northeast Bank,44.25316667,-67.02166667,2016-08-25,Canada 100,Purse Seine,Connors
427820,Northeast Bank,44.27933333,-66.9895,2016-08-19,Brunswick Provider,Purse Seine,Connors
427865,Southwest Bank,44.11666667,-67.11666667,2016-08-09,Margaret Elizabeth,Purse Seine,Connors
428167,Northeast Bank,44.258,-66.99916667,2016-08-19,Canada 100,Purse Seine,Connors
428374,Northeast Bank,44.127,-67.13616667,2016-08-23,Canada 100,Purse Seine,Connors
428401,Northeast Bank,44.16666667,-67.01666667,2016-09-06,Margaret Elizabeth,Purse Seine,Connors
428420,Prong,44.41666667,-66.7,2016-09-16,Margaret Elizabeth,Purse Seine,Connors
428424,Southwest Bank,44.127,-67.13616667,2016-08-23,Canada 100,Purse Seine,Connors
428528,Northeast Bank,44.256,-67.03466667,2016-09-06,Canada 100,Purse Seine,Connors
428586,Northeast Bank,44.2555,-67.01716667,2016-08-11,Canada 100,Purse Seine,Connors
428673,Northeast Bank,44.256,-67.03466667,2016-09-06,Canada 100,Purse Seine,Connors
428739,German Bank,NA,NA,2016-11-07,Undetermined,Purse Seine,Connors
430067,Bradfords Cove Weir,44.62983333,-66.9,2016-09-27,Andrew & Deane,Weir,Connors
430078,Northeast Bank,44.26666667,-67.01666667,2016-08-30,Margaret Elizabeth,Purse Seine,Connors
430121,Northeast Bank,44.23333333,-67.03333333,2016-09-08,Margaret Elizabeth,Purse Seine,Connors
430142,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430283,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430295,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430464,Northeast Bank,44.31666667,-66.96666667,2016-08-17,Brunswick Provider,Purse Seine,Connors
430522,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430705,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430859,Northeast Bank,44.265,-67.11416667,2016-08-17,Canada 100,Purse Seine,Connors
430868,Northeast Bank,44.26666667,-66.98333333,2016-08-19,Margaret Elizabeth,Purse Seine,Connors
431162,German Bank,43.36666667,-66.33333333,2016-08-22,Morning Star,Purse Seine,Scotia Gardens
431354,German Bank,43.43333333,-66.35,2016-08-16,Sealife II,Purse Seine,Sealife
431444,Long Island,44.2375,-66.37083333,2016-09-14,Lady Janice,Purse Seine,Comeau Sea Foods
431506,German Bank,43.43333333,-66.28333333,2016-08-25,Lady Janice,Purse Seine,Sealife
431509,German Bank,43.41666667,-66.35,2016-08-23,Sealife II,Purse Seine,Sealife
431543,German Bank,43.41666667,-66.35,2016-08-23,Sealife II,Purse Seine,Sealife
431545,German Bank,43.45,-66.33333333,2016-08-17,Lady Janice,Purse Seine,Connors
431555,German Bank,43.41666667,-66.35,2016-08-23,Sealife II,Purse Seine,Sealife
431604,Scots Bay,45.15,-64.96666667,2016-08-16,Lady Melissa,Purse Seine,Connors
431628,Undetermined,43.45666667,-66.33333333,2016-08-15,Silver Harvester,Purse Seine,CapeBreeze
431629,SpawnTow,43.41666667,-66.35,2016-08-24,Sealife II,Purse Seine,Sealife
431635,German Bank,43.44,-66.33333333,2016-08-23,Morning Star,Purse Seine,Scotia Gardens
431647,German Bank,43.43333333,-66.35,2016-08-15,Sealife II,Purse Seine,Sealife
431662,German Bank,43.43333333,-66.35,2016-08-17,Sealife II,Purse Seine,Sealife
431690,German Bank,43.45,-66.33333333,2016-08-25,Sealife II,Purse Seine,Sealife
431699,German Bank,43.36666667,-66.33333333,2016-08-22,Leroy and Barry,Purse Seine,Scotia Gardens
431855,Scots Bay,NA,NA,2017-01-20,Canada 100,Purse Seine,Connors 
431880,German Bank,43.46666667,-66.33333333,2016-09-02,Morning Star,Purse Seine,Scotia Gardens
432950,Scots Bay,45.15,-64.91666667,2019-09-03,Brunswick Provider,Purse Seine,Connors
433341,Northeast Bank,44.25566667,-67.0345,2016-09-09,Canada 100,Purse Seine,Connors
433477,Prong,44.38333333,-66.75,2016-09-15,Margaret Elizabeth,Purse Seine,Connors
433596,Long Island,44.31666667,-66.28333333,2016-10-04,Brunswick Provider,Purse Seine,Connors
433731,Southwest Bank,44.127,-67.13616667,2016-08-23,Canada 100,Purse Seine,Connors
435040,German Bank,43.45,-66.31666667,2016-08-22,Lady Melissa,Purse Seine,Sealife
435157,German Bank,NA,NA,2016-11-07,Comeaus Seiner,Purse Seine,Connors
435283,White Head Grand Manan,44.61666667,-66.65,2016-10-17,Margaret Elizabeth,Purse Seine,Connors
435461,German Bank,43.33333333,-66.41666667,2016-08-12,Lady Janice,Purse Seine,Sealife
435502,German Bank,43.44133333,-66.32866667,2016-09-13,Lady Janice,Purse Seine,Connors
436142,Northeast Bank,44.28333333,-67.02333333,2016-09-02,Canada 100,Purse Seine,Connors
436331,Northeast Bank,44.28333333,-67,2016-09-06,Brunswick Provider,Purse Seine,Connors
437082,German Bank,43.28333333,-66.38333333,2017-07-19,Lady Melissa,Purse Seine,Sealife
437173,German Bank,43.44133333,-66.32866667,2016-09-13,Lady Janice,Purse Seine,Sealife
437718,North West Ledge,44.31666667,-66.28333333,2016-10-03,Brunswick Provider,Purse Seine,Connors
437865,German Bank,43.45,-66.31666667,2016-08-22,Lady Melissa,Purse Seine,Sealife
437873,German Bank,NA,NA,2016-11-08,Comeaus Seiner,Purse Seine,Connors
438411,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438662,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438666,Prong,44.41666667,-66.71666667,2019-06-20,Brunswick Provider,Purse Seine,Connors
438680,Scots Bay,45.1465,-64.94783333,2019-06-24,Canada 100,Purse Seine,Connors
438687,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438742,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438877,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438889,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438897,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
438969,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
439384,Northeast Bank,44.28333333,-67,2017-09-26,Brunswick Provider,Purse Seine,Connors 
439468,Northeast Bank,44.26666667,-67,2017-09-25,Brunswick Provider,Purse Seine,Connors 
439523,Northeast Bank,44.26666667,-67,2017-09-19,Brunswick Provider,Purse Seine,Connors 
439546,Northeast Bank,44.28283333,-66.99583333,2017-09-18,Canada 100,Purse Seine,Connors 
439800,Northeast Bank,44.28333333,-67,2017-09-26,Brunswick Provider,Purse Seine,Connors 
439872,Northeast Bank,44.28333333,-67,2017-09-26,Brunswick Provider,Purse Seine,Connors 
440021,German Bank,43.43333333,-66.35,2016-08-15,Sealife II,Purse Seine,Comeau Sea Foods
440150,North West Ledge,44.31666667,-66.31666667,2016-10-04,Brunswick Provider,Purse Seine,Connors
440222,White Head Grand Manan,44.64866667,-66.65933333,2016-10-31,Canada 100,Purse Seine,Connors
440261,Scots Bay,45.15,-64.96666667,2016-08-16,Lady Melissa,Purse Seine,Connors
440457,German Bank,43.45,-66.33333333,2016-08-17,Lady Janice,Purse Seine,Connors
440591,German Bank,43.43333333,-66.31666667,2016-08-25,Leroy and Barry,Purse Seine,Scotia Gardens
440787,German Bank,43.41666667,-66.35,2016-08-23,Sealife II,Purse Seine,Sealife
440888,German Bank,43.45833333,-66.34166667,2016-09-13,Morning Star,Purse Seine,Scotia Gardens
440910,German Bank,43.38333333,-66.35,2016-08-12,Sealife II,Purse Seine,Comeau Sea Foods
441773,German Bank,43.46666667,-66.35333333,2018-09-25,Leroy and Barry,Purse Seine,Scotia Gardens
441801,Scots Bay,45.2,-64.93333333,2019-08-05,Brunswick Provider,Purse Seine,Connors
442103,Mill Cove Campobello,44.93033333,-66.90466667,2019-01-22,Undetermined,Weir_ShutOff,Connors
442133,Mumps weir Shutoff,44.67266667,-66.686,2018-08-18,Capelco,Weir_ShutOff,Sealife
442510,The Mumps Weir,44.67266667,-66.69,2018-07-09,Michael Eileen,Weir,CapeBreeze
442788,Mill Cove Back Bay,45.0395,-66.85783333,2018-08-10,Silver King,ShutOff,Sealife
442815,Bradfords Cove Weir,44.62983333,-66.9,2019-01-17,Strathburn,Weir_ShutOff,Connors
442864,Ship Head,44.91616667,-66.88983333,2018-08-23,Michael Eileen,ShutOff,Sealife
442927,Ship Head,44.91616667,-66.88983333,2018-08-23,Michael Eileen,ShutOff,Sealife
443903,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
443922,Prong,44.273,-66.97333333,2019-06-06,Brunswick Provider,Purse Seine,Connors
443926,Prong,44.4185,-66.692,2019-06-19,Canada 100,Purse Seine,Connors
443946,Prong,44.28333333,-66.98333333,2019-06-06,Fundy Monarch,Purse Seine,Connors
443959,Flagg Cove,44.74283333,-66.75,2019-08-28,Andrew & Deane,Weir,Connors
443983,Prong,44.4,-66.71666667,2019-06-21,Fundy Monarch,Purse Seine,Connors
444640,Northeast Bank,44.28283333,-66.99583333,2017-09-18,Canada 100,Purse Seine,Connors 
444649,Northeast Bank,44.26666667,-67,2017-09-19,Margaret Elizabeth,Purse Seine,Connors 
444728,Bradfords Cove Weir,44.62983333,-66.9,2017-09-12,Senator Neil,Weir,Connors 
445100,Prong,44.4155,-66.7085,2019-06-20,Canada 100,Purse Seine,Connors
445366,Campobello Ship Head Weir,44.91616667,-66.88983333,2019-01-17,Capelco,Weir_ShutOff,Connors
445385,Meadow Brook Campobello,44.88083333,-66.9125,2019-01-23,Undetermined,Weir_ShutOff,Connors
445556,Money Cove Weir,44.777,-66.8215,2019-01-28,Undetermined,Weir_ShutOff,Connors
445793,McDormant Patch,44.5,-66.08333333,2019-09-06,Brunswick Provider,Purse Seine,Connors
445880,German Bank,43.4745,-66.35333333,2018-09-24,Lady Melissa,Purse Seine,Sealife
445969,German Bank,43.45,-66.35,2018-10-02,Morning Star,Purse Seine,Scotia Gardens
446597,Sandy Cove NS,44.47916667,-66.18783333,2019-07-11,Canada 100,Purse Seine,Connors
448003,German Bank,43.4,-66.4,2017-07-27,Margaret Elizabeth,Purse Seine,Connors 
448029,Scots Bay,45.19416667,-64.94966667,2017-08-14,Canada 100,Purse Seine,Connors 
448030,Scots Bay,45.2,-64.81666667,2017-08-27,Lady Janice,Purse Seine,Comeau Sea Foods
448191,Trinity,43.9,-66.46666667,2017-07-14,Silver Harvester,Purse Seine,CapeBreeze
448505,Scots Bay,45.1985,-64.91666667,2017-08-13,Brunswick Provider,Purse Seine,Connors 
448906,Scots Bay,45.21916667,-64.91616667,2017-07-29,Brunswick Provider,Purse Seine,Connors 
448912,Scots Bay,45.2,-64.86666667,2017-07-31,Lady Melissa,Purse Seine,Sealife
449132,Campobello Meadow Brook Shut Off,44.88083333,-66.9125,2019-01-18,Undetermined,Weir_ShutOff,Connors
449347,Mill Cove Back Bay,45.0395,-66.85783333,2018-08-13,Andrew & Deane,ShutOff,Sealife
449455,Grand Manan Mumps Weir,44.67266667,-66.686,2019-01-08,Capelco,Weir_ShutOff,Connors
449480,Money Cove Weir,44.777,-66.8215,2019-01-28,Undetermined,Weir_ShutOff,Connors
449786,Money Cove Weir,44.777,-66.82,2018-08-07,Andrew & Deane,Weir,Sealife
450446,Money Cove Weir,44.62983333,-66.9,2018-07-29,Andrew & Deane,Weir,CapeBreeze
450542,Seeleys Cove Shut Off,45.083633,-66.65,2019-01-25,Undetermined,Weir_ShutOff,Connors
450645,Grand Manan Mumps Weir,44.67266667,-66.686,2019-01-08,Capelco,Weir_ShutOff,Connors
450689,Money Cove Weir,44.777,-66.82,2018-08-06,Michael Eileen,Weir,Sealife
450805,Campobello North Road Shut Off,44.89316667,-66.959,2019-01-16,Capelco,Weir_ShutOff,Connors
451520,German Bank,43.45166667,-66.33816667,2018-10-04,Lady Janice,Purse Seine,Comeau Sea Foods
452321,Chattis Point,45.016,-66.9,2019-08-28,Caroline B,Weir,Connors
452393,Sandy Cove NS,44.51433333,-66.0875,2019-07-10,Brunswick Provider,Purse Seine,Connors
452549,Scots Bay,45.15016667,-64.9415,2019-09-02,Canada 100,Purse Seine,Connors
452653,Flagg Cove,44.77433333,-66.76,2019-08-30,Capelco,Weir,Connors
452940,Scots Bay,45.21983333,-64.94333333,2019-08-19,Brunswick Provider,Purse Seine,Connors
453163,Long Island,44.32866667,-66.31283333,2018-06-01,Canada 100,Purse Seine,Connors
453773,Scots Bay,45.2,-64.88333333,2018-08-06,Morning Star,Purse Seine,Scotia Gardens
454158,German Bank,43.45,-66.33333333,2017-08-31,Leroy and Barry,Purse Seine,Scotia Gardens
454497,German Bank,43.41666667,-66.33333333,2017-09-11,Morning Star,Purse Seine,Scotia Gardens
455068,Sandy Cove NS,44.5155,-66.0875,2019-08-20,Brunswick Provider,Purse Seine,Connors
455076,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Melissa,Purse Seine,Comeau Sea Foods
455079,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455080,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455086,Scots Bay,45.2,-64.9705,2019-07-22,Leroy and Barry,Purse Seine,Scotia Gardens
455133,Scots Bay,45.2,-64.9705,2019-07-22,Leroy and Barry,Purse Seine,Scotia Gardens
455143,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
