Number,Ground,Date,Year,id,TowReplicate,TowID,TowNo,Survey.No,Abundance,Density,Volume,Preservative,MeanLengthAdjustment,AdjustedMeanAgeInDays,AdjustedMinDateOfSpawn,AdjustedMaxDateOfSpawn,Lon1,Lat1,Lon2,Lat2,TowTime,AvgTowDepth,MaxTowDepth,CTDAvgTemp
17,SB,2021-06-05,2021,SB2021-02,TRUE,51,2,2,14,0.003331816,4201.912788,4% formalin,8.666982857,15.27909524,18744.56521,18761.73583,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178
18,GB,2021-10-18,2021,GB2021-10,TRUE,63,1,5,8,NA,NA,4% formalin,8.754225,15.64260417,18881.78608,18900.73583,-66.35,43.56,-66.35,43.57,10,25.7,31.9,NA
19,GB,2021-10-18,2021,GB2021-09,TRUE,63,2,5,21,NA,NA,4% formalin,9.602294286,19.17622619,18880.29658,18899.24633,-66.352,43.57,-66.352,43.56,11,15,25.3,NA
20,SB,2017-08-13,2017,SB2017-04,FALSE,6,1,5,25,0.064167495,389.6053586,4% formalin,13.192935,34.13722917,17301.15677,17366.83958,-65.2333,45.2533,-65.21,45.17333333,10,1,4,11.769
21,SB,2017-07-29,2017,SB2017-03,FALSE,5,1,4,25,0.394843987,63.31614713,4% formalin,18.902685,57.92785417,17257.19427,17351.3224,NA,NA,-64.9216,45.1943,10,19,37,10.574
22,SB,2017-09-08,2017,SB2017-06,FALSE,10,1,7,192,NA,NA,4% formalin,10.9883457,24.95144043,17319.91615,17391.28802,-65.235,45.0583,NA,NA,10,NA,NA,NA
23,SB,2018-08-05,2018,SB2018-07,FALSE,20,1,5,14,0.002997568,4670.452277,4% formalin,9.452871429,18.55363095,17709.35833,17721.77083,-65.2167,45.05,-65.2104,45.0562,10,2,5,13.035
24,SB,2017-08-26,2017,SB2017-05,FALSE,8,1,6,16,NA,NA,4% formalin,10.83642188,24.31842448,17316.22552,17377.25365,-65.26166667,45.09333333,NA,NA,10,NA,NA,NA
25,SB,2017-07-15,2017,SB2017-02,FALSE,4,1,3,21,NA,NA,4% formalin,10.67166071,23.63191964,17308.87708,17334.21927,-65.2667,45.094583,NA,NA,NA,NA,NA,NA
26,SB,2019-06-08,2019,SB2019-01,TRUE,28,1,1,4,0.001160424,3447.015471,70% alcohol,10.802765,24.1781875,18007.44692,18026.36154,-65.302,45.2281,-65.302,45.2281,10,NA,5.75,NA
27,SB,2018-07-21,2018,SB2018-06,FALSE,19,1,4,3,0.00080429,3729.996438,70% alcohol,10.43848333,22.66034722,17690.43313,17704.03188,-65.229,45.0483,-65.2082,45.0567,8,7,14,11.615
28,GB,2021-10-03,2021,GB2021-07,TRUE,62,1,4,4,NA,NA,4% formalin,9.6255825,19.27326042,18872.37171,18875.26796,-66.52,43.57,-66.356,43.56,10,16.8,31.2,13.15
29,SB,2021-08-01,2021,SB2021-07,TRUE,54,1,6,3,0.000660581,4541.456179,4% formalin,11.32113,26.33804167,18792.04896,18805.28896,-65.1855,45.05266667,-65.3175,45.0485,10,12.2,17.94,12.24
30,SB,2021-08-15,2021,SB2021-09,TRUE,55,1,7,1,0.000272877,3664.654174,4% formalin,9.98058,20.75241667,18819.24758,18819.24758,-65.20073333,45.0529,-65.22116667,45.05166667,10,22,31.79,12.88
31,SB,2021-08-29,2021,SB2021-10,TRUE,57,1,8,2,0.000618054,3235.961647,4% formalin,11.40057,26.66904167,18821.66258,18832.99933,-65.23183333,45.03585,-65.2,45.05263333,11,5.9,17,13.19
32,SB,2021-08-29,2021,SB2021-11,TRUE,57,2,8,1,0.000397841,2513.566619,4% formalin,12.52266,31.34441667,18822.65558,18822.65558,-65.202,45.05701667,-65.22106667,45.05226667,11,12,26,13.19
33,SB,2021-09-26,2021,SB2021-14,TRUE,61,1,10,23,NA,NA,4% formalin,15.25772739,42.7405308,18826.90633,18848.71096,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA
34,SB,2021-09-26,2021,SB2021-15,TRUE,61,2,10,4,NA,NA,4% formalin,17.1574875,50.65619792,18823.09983,18838.24308,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA
35,SB,2021-09-13,2021,SB2021-13,TRUE,59,2,9,1,NA,NA,4% formalin,17.02095,50.08729167,18818.91271,18818.91271,-65.196,45.05,-65.2,45.05,11,14.7,22.1,13.19
36,SB,2019-08-04,2019,SB2019-08,TRUE,32,2,5,1,6.78E-05,14739.4081,70% alcohol,17.1472,50.61333333,18047.38667,18047.38667,-66.2,45.05,-66.2028,45.0565,10,NA,NA,10.93
37,SB,2021-09-13,2021,SB2021-12,TRUE,59,1,9,1,NA,NA,4% formalin,18.01395,54.22479167,18814.77521,18814.77521,-65.2,45.045,-65.196,45.054,10,10.6,19.4,13.19
