Year,Ground,Notes,Date, Biomass ,Yearly Total
2020, 2020 Scots Bay 8,,2020-09-06,17227,
2020, 2020 Scots Bay 9,,2020-09-20,4769,
2020, 2020 Scots Bay 10,,2020-08-12, -   ,188151
2019,2019 Scots Bay 1,,2019-06-08,19443,
2019,2019 Scots Bay 2,,2019-06-22,50468,
2019, 2019 Scots Bay 3,,2019-07-06,16508,
2019, 2019 Scots Bay 4,,2019-07-20,8475,
2019, 2019 Scots Bay 5,,2019-08-04,9324,
2019, 2019 Scots Bay 6,,2019-08-18,12220,
2019, 2019 Scots Bay 7,,2019-09-01,10373,
2019, 2019 Scots Bay 8,2019 - 2022 add from 1997 - 2022 acousitc surveys overall-bubble spreadsheet. 2024-05-08,2019-09-15,6520,133331
2018,2018 Scots Bay 1,,2018-06-09,77909,
2018,2018 Scots Bay 2,,2018-06-23,16137,
2018,2018 Scots Bay 3,,2018-07-07,28647,
2018,2018 Scots Bay 4,,2018-07-21, -   ,
2018,2018 Scots Bay 5,,2018-08-05,5984,
2018,2018 Scots Bay 6,,2018-08-18,4182,
2018,2018 Scots Bay 7,,2018-09-02,5819,
2018,2018 Scots Bay 8,,2018-09-15,973,139651
2017,2017 Scots Bay 1,,2017-06-21,75364,
2017,2017 Scots Bay 2,,2017-07-01,11677,
2017,2017 Scots Bay 3,,2017-07-15,18658,
2017,2017 Scots Bay 4,,2017-07-29,2835,
2017,2017 Scots Bay 5,,2017-08-12,17025,
2017,2017 Scots Bay 6,,2017-08-26,9475,
2017,2017 Scots Bay 7,,2017-09-08,6222,
2017,2017 Scots Bay 8,,2017-09-23,710,141966
2016,2016 Scots Bay 1,,2016-06-18,23989,
2016,2016 Scots Bay 2,,2016-07-02,37853,
2016,2016 Scots Bay 3,,2016-07-16,3788,
2016,2016 Scots Bay 4,,2016-07-30,9747,
2016,2016 Scots Bay 5,,2016-08-13,25409,
2016,2016 Scots Bay 6,,2016-08-27, -   ,100787
2015,2015 Scots Bay 1,,2015-06-27,82428,
2015,2015 Scots Bay 2,,2015-07-11,70538,
2015,2015 Scots Bay 3,,2015-07-25,29868,
2015,2015 Scots Bay 4,,2015-08-08,28382,
2015,2015 Scots Bay 5,,2015-08-22,24654,
2015,2015 Scots Bay 6,,2015-09-08,13355,249225
2014,2014 Scots Bay 1,,2014-06-21,57552,
2014,2014 Scots Bay 2,,2014-07-08,101274,
2014,2014 Scots Bay 3,,2014-07-19,5208,
2014,2014 Scots Bay 4,,2014-08-02,14545,
2014,2014 Scots Bay 5,,2014-08-16,4325,
2014,2014 Scots Bay 6,,2014-08-30,8098,191001
2013,2013 Scots Bay 1,Interval -0,2013-06-22,13245,
2013,2013 Scots Bay 2,14,2013-07-06,6309,
2013,2013 Scots Bay 3,14,2013-07-21,10961,
2013,2013 Scots Bay 4,13,2013-08-03,7948,
2013,2013 Scots Bay 5,,2013-08-17,13625,
2013,2013 Scots Bay 6,,2013-08-31,11847,
2013,2013 Scots Bay 7,14,2013-09-14,2248,66184
2012,2012 Scots Bay 1,Interval -0,2012-06-30,59795,
2012,2012 Scots Bay 2,14,2012-07-14,47710,
2012,2012 Scots Bay 3,14,2012-07-28,31009,
2012,2012 Scots Bay 4,13,2012-08-11,15507,
2012,2012 Scots Bay 5,14,2012-08-25,6585,160606
2011,2011 Scots Bay 1,preliminary,2011-07-02,37706,
2011,2011 Scots Bay 2,preliminary,2011-07-16,33507,
2011,2011 Scots Bay 3,preliminary,2011-07-30,29229,
2011,2011 Scots Bay 4,preliminary,2011-08-13,12091,
2011,2011 Scots Bay 5,preliminary,2011-08-26,10052,122585
2010,2010 Scots Bay 2,,2010-07-10,21808,
2010,2010 Scots Bay 3,,2010-07-24,6493,
2010,2010 Scots Bay 4,,2010-08-07,12176,
2010,2010 Scots Bay 5,,2010-08-21,6150,
2010,2010 Scots Bay 6,,2010-09-05,261,46888
2009,2009 Scots Bay 1,,2009-06-27,7542,
2009,2009 Scots Bay 2,2537/2813t outbox,2009-07-11,44725,
2009,2009 Scots Bay 3,1356/1577t outbox,2009-07-25,13133,
2009,2009 Scots Bay 4,1342/1673t outbox,2009-08-08,12103,
2009,2009 Scots Bay 5,40/49t outbox,2009-08-21, -   ,77503
2008,2008 Scots Bay 1,,2008-07-12,5992,
2008,2008 Scots Bay 2,67/80t outbox not included,2008-07-26,13509,
2008,2008 Scots Bay 3,59/69t outbox not included,2008-08-09,1257,20757
2007,2007 Scots Bay 1,"8,680 t w/ CIF (+ 181t outside box)",2007-07-14,8899,
2007,2007 Scots Bay 2,"31,962 t w/ CIF - lines not schools",2007-07-28,30760,
2007,2007 Scots Bay 3,"7,867 t w/ CIF (+ 797t outside box)",2007-08-11,4457,
2007,2007 Scots Bay 4,"1,953 t w/ CIF (+ 1,003 t outside box)",2007-08-25,1730,45846
2006,2006 Scots Bay 1,"max using school, 21,626 t w/ CIF",2006-07-22,21886,
2006,2006 Scots Bay 2,586 t w/ CIF,2006-08-06, -   ,
2006,2006 Scots Bay 3," max with schools, BP data issues 7,718 t w/ CIF",2006-08-19,8979,30865
2005,2005 Scots Bay 1,"12,404 t w/ integration factor",2005-07-31,12404,
2005,2005 Scots Bay 2,"7,618 t w/ integration factor",2005-08-21,6897,
2005,2005 Scots Bay 3,"1,206 t w/ integration factor",2005-09-11,763,20064
2004,2004 Scots Bay F1,,2004-07-19,1042,
2004,2004 Scots Bay 1,,2004-08-02,16745,
2004,2004 Scots Bay 2,,2004-08-16,61042,
2004,2004 Scots Bay 3,,2004-08-29,17489,
2004,2004 Scots Bay 4,,2004-09-12,2374,98693
2003,2003 Scots Bay 1,,2003-07-31,8759,
2003,2003 Scots Bay 2,,2003-08-10,71589,
2003,2003 Scots Bay 3,,2003-08-24,20159,
2003,2003 Scots Bay F1,,2003-09-06,5272,105779
2002,2002 Scots Bay 1,,2002-07-28,38856,
2002,2002 Scots Bay 2,,2002-08-11,9799,
2002,2002 Scots Bay 3,,2002-08-21,67749,
2002,2002 Scots Bay 4,,2002-09-02,-10,116393
2001,2001 Scots Bay 1,,2001-07-16,98923,
2001,2001 Scots Bay 2,,2001-07-31,67183,
2001,2001 Scots Bay 3,,2001-08-16,29146,195252
2000,2000 Scots Bay 1,,2000-08-01,91816,
2000,2000 Scots Bay 2,,2000-08-14,15306,
2000,2000 Scots Bay 3,,2000-08-29,60821,167943
1999,1999 Scots Bay *,,1999-07-25,24335,
1999,1999 Scots Bay F1,Used Fishing night instead of survey 1,1999-08-08,6093,
1999,1999 Scots Bay 2,,1999-08-20,10224,
1999,1999 Scots Bay 3,,1999-09-03, -   ,40652
