Survey,Tow,Survey_Date,Collection_Date,Ground,Length_Pixel,Length_mm,Yolk_sac,Preservative
2,4,2019-06-22,2019-06-22,Scots Bay,,6.01,0.89,70% Alcohol
2,3,2019-06-22,2019-06-22,Scots Bay,,6.02,0.68,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.06,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.07,,70% Ethanol
1,1,2018-05-09,2018-05-09,Scots Bay,,6.08,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.08,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,49,6.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,49,6.125,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,6.13,,70% Alcohol
6,14,2019-09-13,2019-09-13,Seal Island,,6.14,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.14,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.15,,4% Formalin
2,4,2019-06-22,2019-06-22,Scots Bay,,6.17,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.17,,70% Alcohol
1,1,2018-05-09,2018-05-09,Scots Bay,,6.19,,70% Ethanol
1,1,2018-05-09,2018-05-09,Scots Bay,,6.21,1.13,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.21,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,6.22,1.91,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,50,6.25,,4% Formalin
2,4,2019-06-22,2019-06-22,Scots Bay,,6.27,0.88,70% Alcohol
6,12,2019-10-13,2019-10-13,Seal Island,,6.29,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.33,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.35,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.37,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,51,6.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,51,6.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,51,6.375,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.41,,70% Ethanol
2,3,2019-06-22,2019-06-22,Scots Bay,,6.41,1.22,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.41,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,6.42,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,6.46,2.14,70% Ethanol
3,6,2019-07-06,2019-07-06,Scots Bay,,6.46,0.83,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,52,6.5,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,52,6.5,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,6.52,1.95,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.53,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,6.55,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,6.56,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,6.57,1.06,70% Alcohol
6,12,2019-10-13,2019-10-13,Seal Island,,6.58,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,6.58,2.36,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.59,,70% Ethanol
1,1,2018-05-09,2018-05-09,Scots Bay,,6.6,1.53,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.6,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,53,6.625,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,53,6.625,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.64,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.64,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.66,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.68,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.69,,70% Alcohol
1,1,2018-05-09,2018-05-09,Scots Bay,,6.7,0.6,70% Ethanol
2,3,2019-06-22,2019-06-22,Scots Bay,,6.72,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.73,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,6.73,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,54,6.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,54,6.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,54,6.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,54,6.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,54,6.75,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,6.75,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,6.76,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,6.79,,70% Alcohol
6,14,2019-09-13,2019-09-13,Seal Island,,6.81,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.81,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.82,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.83,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,6.83,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,6.85,1.06,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,55,6.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,55,6.875,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,55,6.875,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,6.88,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,6.89,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,6.9,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,6.92,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,6.95,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,56,7,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,56,7,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,7,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.01,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,7.03,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,7.05,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,7.08,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,7.11,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.11,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,57,7.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,57,7.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,57,7.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,57,7.125,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,57,7.125,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,57,7.125,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.16,,70% Alcohol
5,7,2018-08-05,2018-08-05,Scots Bay,,7.2,,70% Ethanol
3,6,2019-07-06,2019-07-06,Scots Bay,,7.21,1.44,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,58,7.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,58,7.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,58,7.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,58,7.25,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,58,7.25,,4% Formalin
6,12,2019-10-13,2019-10-13,Seal Island,,7.27,,4% Formalin
6,12,2019-10-13,2019-10-13,Seal Island,,7.29,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,7.31,1.4,70% Ethanol
1,1,2018-05-09,2018-05-09,Scots Bay,,7.32,1.16,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,7.35,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,7.35,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,7.37,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,59,7.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,59,7.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,59,7.375,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,59,7.375,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,7.4,1.81,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.42,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.42,,70% Alcohol
6,14,2019-09-13,2019-09-13,Seal Island,,7.44,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.45,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,7.48,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,60,7.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,60,7.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,60,7.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,60,7.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,60,7.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,60,7.5,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,60,7.5,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,60,7.5,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,60,7.5,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,60,7.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,61,7.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,61,7.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,61,7.625,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.66,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.69,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.7,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.71,,70% Alcohol
2,3,2019-06-22,2019-06-22,Scots Bay,,7.73,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
