id,X,Y,group,type,div,date,daysAtLarge
241,-67.12333333,44.10416667,42,release,11,2016-07-12,10
225,-67.11833333,44.13,43,release,10,2016-07-11,14
233,-66.77416667,43.5015,44,release,1,2016-06-15,42
230,-67.1485,44.13666667,45,release,12,2016-07-25,3
264,-67.11833333,44.13,46,release,10,2016-07-11,24
194,-67.11833333,44.13,47,release,10,2016-07-11,28
149,-67.121,44.125,48,release,17,2016-08-03,6
204,-67.11833333,44.13,49,release,10,2016-07-11,31
270,-67.1285,44.0895,50,release,19,2016-08-04,7
269,-67.14933333,44.14066667,51,release,13,2016-07-26,16
291,-67.14933333,44.14066667,52,release,13,2016-07-26,16
151,-66.72333333,43.5,53,release,5,2016-07-04,42
248,-67.12333333,44.10416667,54,release,11,2016-07-12,35
283,-66.349,43.46233333,55,release,27,2016-08-11,5
237,-67.01516667,44.26566667,56,release,29,2016-08-15,2
271,-67.01516667,44.26566667,57,release,29,2016-08-15,2
281,-67.01516667,44.26566667,58,release,29,2016-08-15,2
228,-67.12333333,44.10416667,59,release,11,2016-07-12,36
180,-67.01516667,44.26566667,60,release,29,2016-08-15,2
197,-67.105,44.17333333,61,release,15,2016-08-02,15
232,-66.33716667,43.456,62,release,21,2016-08-07,10
254,-67.11833333,44.13,63,release,10,2016-07-11,37
177,-67.01516667,44.26566667,64,release,29,2016-08-15,2
212,-67.01516667,44.26566667,65,release,29,2016-08-15,2
243,-67.14933333,44.14066667,66,release,13,2016-07-26,22
184,-67.01516667,44.26566667,67,release,29,2016-08-15,2
226,-67.11833333,44.13,68,release,10,2016-07-11,37
260,-66.3385,43.46183333,69,release,20,2016-08-07,11
179,-67.11833333,44.13,70,release,10,2016-07-11,38
201,-66.33716667,43.456,71,release,21,2016-08-07,11
268,-66.349,43.46233333,72,release,27,2016-08-11,7
259,-67.121,44.125,73,release,17,2016-08-03,16
207,-67.01516667,44.26566667,74,release,29,2016-08-15,4
203,-67.121,44.125,75,release,17,2016-08-03,17
213,-67.1485,44.13666667,76,release,12,2016-07-25,28
200,-67.12333333,44.10416667,77,release,11,2016-07-12,41
167,-67.11833333,44.13,78,release,10,2016-07-11,42
229,-66.99916667,44.258,79,release,31,2016-08-17,6
218,-67.1285,44.0895,80,release,19,2016-08-04,19
185,-67.1285,44.0895,81,release,19,2016-08-04,19
266,-67.12333333,44.10416667,82,release,11,2016-07-12,44
173,-67.12333333,44.10416667,83,release,11,2016-07-12,44
152,-67.121,44.125,84,release,17,2016-08-03,22
240,-67.121,44.125,85,release,17,2016-08-03,22
261,-66.39516667,43.36783333,86,release,16,2016-08-02,23
150,-67.12333333,44.10416667,87,release,11,2016-07-12,48
238,-67.01516667,44.26566667,88,release,29,2016-08-15,15
209,-67.11833333,44.13,89,release,10,2016-07-11,51
171,-67.11833333,44.13,90,release,10,2016-07-11,52
276,-67.12333333,44.10416667,91,release,11,2016-07-12,51
206,-67.14933333,44.14066667,92,release,13,2016-07-26,38
156,-67.0095,44.28433333,93,release,32,2016-09-01,1
166,-67.105,44.17333333,94,release,15,2016-08-02,35
263,-67.12333333,44.10416667,95,release,11,2016-07-12,56
208,-67.0095,44.28433333,96,release,32,2016-09-01,5
220,-67.1285,44.0895,97,release,19,2016-08-04,33
178,-67.1285,44.0895,98,release,19,2016-08-04,33
191,-67.1285,44.0895,99,release,19,2016-08-04,33
249,-67.14933333,44.14066667,100,release,13,2016-07-26,43
294,-67.1485,44.13666667,101,release,12,2016-07-25,44
286,-67.11833333,44.13,102,release,10,2016-07-11,58
214,-67.01516667,44.26566667,103,release,29,2016-08-15,24
170,-67.14933333,44.14066667,104,release,13,2016-07-26,44
202,-67.14933333,44.14066667,105,release,13,2016-07-26,45
195,-67.11833333,44.13,106,release,10,2016-07-11,61
272,-67.11416667,44.265,107,release,30,2016-08-16,25
215,-66.4655,43.3305,108,release,24,2016-08-11,34
182,-66.99916667,44.258,109,release,31,2016-08-17,29
255,-67.1285,44.0895,110,release,19,2016-08-04,43
169,-67.14933333,44.14066667,111,release,13,2016-07-26,56
188,-67.14933333,44.14066667,112,release,13,2016-07-26,56
245,-67.14933333,44.14066667,113,release,13,2016-07-26,56
161,-67.01516667,44.26566667,114,release,29,2016-08-15,44
174,-66.71666667,43.44833333,115,release,7,2016-07-05,87
168,-66.3945,43.30166667,116,release,28,2016-08-12,52
250,-66.33716667,43.456,117,release,21,2016-08-07,58
162,-66.99916667,44.258,118,release,31,2016-08-17,49
157,-66.39633333,43.40416667,119,release,14,2016-08-01,74
192,-67.14933333,44.14066667,120,release,13,2016-07-26,80
205,-66.42683333,43.31266667,121,release,25,2016-08-11,67
256,-67.14933333,44.14066667,122,release,13,2016-07-26,86
278,-66.33716667,43.456,123,release,21,2016-08-07,85
295,-66.39516667,43.36783333,124,release,16,2016-08-02,91
172,-67.1485,44.13666667,125,release,12,2016-07-25,99
181,-66.42683333,43.31266667,126,release,25,2016-08-11,88
186,-67.1285,44.0895,127,release,19,2016-08-04,95
285,-66.3945,43.30166667,128,release,28,2016-08-12,88
189,-67.11833333,44.13,129,release,10,2016-07-11,121
175,-67.14933333,44.14066667,130,release,13,2016-07-26,113
280,-66.93616667,43.605,131,release,4,2016-06-28,34
216,-66.39516667,43.36783333,132,release,16,2016-08-02,2
210,-66.4175,43.352,133,release,22,2016-08-10,34
282,-67.105,44.17333333,134,release,15,2016-08-02,36
163,-66.42683333,43.31266667,135,release,25,2016-08-11,22
221,-66.39633333,43.40416667,136,release,14,2016-08-01,30
234,-66.67833333,43.545,137,release,8,2016-07-05,51
199,-66.4175,43.352,138,release,22,2016-08-10,15
257,-66.349,43.46233333,139,release,27,2016-08-11,12
267,-66.67833333,43.545,140,release,8,2016-07-05,48
217,-66.349,43.46233333,141,release,27,2016-08-11,11
165,-66.398,43.42483333,142,release,23,2016-08-10,12
158,-66.67833333,43.545,143,release,8,2016-07-05,42
279,-66.39516667,43.39083333,144,release,18,2016-08-03,8
273,-66.3385,43.46183333,145,release,20,2016-08-07,3
292,-66.935,43.61166667,146,release,2,2016-06-16,12
193,-66.77416667,43.5015,147,release,1,2016-06-15,6
239,-66.935,43.61166667,148,release,2,2016-06-16,1
79,-66.33333333,43.46666667,1,return,14,2016-08-16,15
35,-66.34833333,43.46,2,return,27,2016-08-14,3
104,-66.98,44.27,3,return,10,2016-07-19,8
126,-66.9,43.4,4,return,7,2016-07-07,2
88,-66.37083333,44.2375,5,return,23,2016-09-14,35
129,-66.66666667,43.51666667,6,return,6,2016-07-05,1
140,-66.66666667,43.51666667,7,return,6,2016-07-05,1
94,-66.35,43.38333333,8,return,22,2016-08-12,2
12,-66.33333333,43.46666667,9,return,6,2016-09-02,60
148,-66.66666667,43.51666667,10,return,6,2016-07-05,1
98,-66.66666667,43.51666667,11,return,6,2016-07-05,1
16,-66.66666667,43.51666667,12,return,6,2016-07-05,1
142,-66.66666667,43.51666667,13,return,6,2016-07-05,1
42,-66.35,43.43333333,14,return,20,2016-08-15,8
117,-66.96666667,43.55,15,return,2,2016-06-17,1
145,-66.73333333,43.45,16,return,8,2016-07-06,1
48,-66.41666667,43.33333333,17,return,24,2016-08-12,1
63,-66.35,43.43333333,18,return,27,2016-08-15,4
6,-66.35,43.43333333,19,return,23,2016-08-16,6
11,-66.35,43.43333333,20,return,27,2016-08-17,6
83,-66.96666667,44.26666667,21,return,15,2016-08-19,17
76,-66.31666667,43.45,22,return,25,2016-08-22,11
71,-66.31666667,43.45,23,return,28,2016-08-22,10
39,-66.35,43.41666667,24,return,22,2016-08-23,13
28,-66.35,43.41666667,25,return,27,2016-08-23,12
7,-66.35,43.41666667,26,return,27,2016-08-23,12
139,-66.35,43.41666667,27,return,27,2016-08-23,12
87,-66.35,43.41666667,28,return,27,2016-08-24,13
5,-66.35,43.41666667,29,return,7,2016-08-24,50
75,-66.33333333,43.45,30,return,27,2016-08-25,14
127,-66.33333333,43.45,31,return,1,2016-08-25,71
96,-66.28333333,43.43333333,32,return,27,2016-08-25,14
114,-66.33333333,43.43333333,33,return,5,2016-08-29,56
105,-66.33333333,43.41666667,34,return,9,2016-08-30,55
136,-66.29533333,43.44133333,35,return,26,2016-09-13,33
50,-66.9,43.6,36,return,3,2016-06-26,9
99,-66.8,43.494,37,return,9,2016-07-06,0
110,-67.06666667,44.15,38,return,11,2016-07-13,1
141,-67.06666667,44.15,39,return,11,2016-07-14,2
74,-67.12333333,44.10416667,40,return,10,2016-07-14,3
103,-64.85,45.28333333,41,return,3,2016-07-19,32
93,-67.1,44.13333333,42,return,11,2016-07-22,10
77,-67.1,44.08333333,43,return,10,2016-07-25,14
85,-67.1,44.15,44,return,1,2016-07-27,42
82,-67.1475,44.11866667,45,return,12,2016-07-28,3
116,-67.121,44.125,46,return,10,2016-08-04,24
46,-67.1285,44.095,47,return,10,2016-08-08,28
1,-67.11666667,44.11666667,48,return,17,2016-08-09,6
56,-67.12466667,44.1445,49,return,10,2016-08-11,31
122,-67.02933333,44.2555,50,return,19,2016-08-11,7
121,-67.11666667,44.11666667,51,return,13,2016-08-11,16
143,-67.11666667,44.11666667,52,return,13,2016-08-11,16
3,-64.99533333,45.15466667,53,return,5,2016-08-15,42
100,-67.01516667,44.26566667,54,return,11,2016-08-16,35
135,-64.96666667,45.15,55,return,27,2016-08-16,5
89,-67.11416667,44.265,56,return,29,2016-08-17,2
123,-67.11416667,44.265,57,return,29,2016-08-17,2
133,-67.11416667,44.265,58,return,29,2016-08-17,2
80,-67.11416667,44.265,59,return,11,2016-08-17,36
32,-67.11416667,44.265,60,return,29,2016-08-17,2
49,-66.96666667,44.31666667,61,return,15,2016-08-17,15
84,-64.96666667,45.15,62,return,21,2016-08-17,10
106,-67.11416667,44.265,63,return,10,2016-08-17,37
29,-67.11416667,44.265,64,return,29,2016-08-17,2
64,-67.11416667,44.265,65,return,29,2016-08-17,2
95,-66.96666667,44.31666667,66,return,13,2016-08-17,22
36,-66.96666667,44.31666667,67,return,29,2016-08-17,2
78,-66.96666667,44.31666667,68,return,10,2016-08-17,37
112,-66.33333333,43.45,69,return,20,2016-08-18,11
31,-67.11516667,44.30333333,70,return,10,2016-08-18,38
53,-66.33333333,43.45,71,return,21,2016-08-18,11
120,-66.33333333,43.45,72,return,27,2016-08-18,7
111,-66.9895,44.27916667,73,return,17,2016-08-19,16
59,-66.98333333,44.26666667,74,return,29,2016-08-19,4
55,-66.99916667,44.258,75,return,17,2016-08-20,17
65,-66.99833333,44.258,76,return,12,2016-08-22,28
52,-67.13616667,44.127,77,return,11,2016-08-22,41
19,-67.13616667,44.127,78,return,10,2016-08-22,42
81,-67.13616667,44.127,79,return,31,2016-08-23,6
70,-67.13616667,44.127,80,return,19,2016-08-23,19
37,-66.99833333,44.258,81,return,19,2016-08-23,19
118,-67.05,44.21666667,82,return,11,2016-08-25,44
25,-67.05,44.21666667,83,return,11,2016-08-25,44
4,-67.02166667,44.25316667,84,return,17,2016-08-25,22
92,-67.02166667,44.25316667,85,return,17,2016-08-25,22
113,-66.33333333,43.45,86,return,16,2016-08-25,23
2,-67.01666667,44.25,87,return,11,2016-08-29,48
90,-67.01666667,44.26666667,88,return,29,2016-08-30,15
61,-66.95416667,44.32483333,89,return,10,2016-08-31,51
23,-67.0095,44.28433333,90,return,10,2016-09-01,52
128,-67,44.28333333,91,return,11,2016-09-01,51
58,-67.02333333,44.28333333,92,return,13,2016-09-02,38
8,-67.02333333,44.28333333,93,return,32,2016-09-02,1
18,-67.03466667,44.256,94,return,15,2016-09-06,35
115,-67.03466667,44.256,95,return,11,2016-09-06,56
60,-67,44.28333333,96,return,32,2016-09-06,5
72,-67.03466667,44.256,97,return,19,2016-09-06,33
30,-67.01666667,44.16666667,98,return,19,2016-09-06,33
43,-67.03466667,44.256,99,return,19,2016-09-06,33
101,-67.04283333,44.25066667,100,return,13,2016-09-07,43
146,-67.04283333,44.25066667,101,return,12,2016-09-07,44
138,-67.05,44.25,102,return,10,2016-09-07,58
66,-67.03333333,44.23333333,103,return,29,2016-09-08,24
22,-67.03333333,44.23333333,104,return,13,2016-09-08,44
54,-67.11666667,44.25,105,return,13,2016-09-09,45
47,-67.11666667,44.25,106,return,10,2016-09-10,61
124,-67.0345,44.25566667,107,return,30,2016-09-10,25
67,-66.35,43.46666667,108,return,24,2016-09-14,34
34,-66.75,44.38333333,109,return,31,2016-09-15,29
107,-66.7,44.41666667,110,return,19,2016-09-16,43
21,-66.77616667,44.423,111,return,13,2016-09-20,56
40,-66.77616667,44.423,112,return,13,2016-09-20,56
97,-66.77616667,44.423,113,return,13,2016-09-20,56
13,-66.897,44.62983333,114,return,29,2016-09-28,44
26,-66.77616667,44.423,115,return,7,2016-09-30,87
20,-66.28333333,44.31666667,116,return,28,2016-10-03,52
102,-66.28333333,44.31666667,117,return,21,2016-10-04,58
14,-66.37566667,44.32016667,118,return,31,2016-10-05,49
9,-66.96666667,44.28333333,119,return,14,2016-10-14,74
44,-66.65,44.65,120,return,13,2016-10-14,80
57,-66.63333333,44.61666667,121,return,25,2016-10-17,67
108,-66.65,44.65,122,return,13,2016-10-20,86
130,-66.65933333,44.64866667,123,return,21,2016-10-31,85
147,-66.65,44.65,124,return,16,2016-11-01,91
24,-66.65933333,44.64866667,125,return,12,2016-11-01,99
33,-66.35,43.43333333,126,return,25,2016-11-07,88
38,-66.35,43.43333333,127,return,19,2016-11-07,95
137,-66.35,43.43333333,128,return,28,2016-11-08,88
41,-66.8,44.71666667,129,return,10,2016-11-09,121
27,-66.73883333,44.44316667,130,return,13,2016-11-16,113
132,-64.98333333,45.15,131,return,4,2016-08-01,34
68,-66.4,43.38333333,132,return,16,2016-08-04,2
62,-66.34166667,43.45833333,133,return,22,2016-09-13,34
134,-66.34666667,43.46166667,134,return,15,2016-09-07,36
15,-66.33333333,43.46666667,135,return,25,2016-09-02,22
73,-66.33333333,43.45,136,return,14,2016-08-31,30
86,-66.31666667,43.41666667,137,return,8,2016-08-25,51
51,-66.31666667,43.41666667,138,return,22,2016-08-25,15
109,-66.33333333,43.44,139,return,27,2016-08-23,12
119,-66.33333333,43.36666667,140,return,8,2016-08-22,48
69,-66.33333333,43.36666667,141,return,27,2016-08-22,11
17,-66.33333333,43.36666667,142,return,23,2016-08-22,12
10,-65.03333333,45.15,143,return,8,2016-08-16,42
131,-66.41666667,43.33333333,144,return,18,2016-08-11,8
125,-66.4,43.35,145,return,20,2016-08-10,3
144,-66.92283333,43.6,146,return,2,2016-06-28,12
45,-66.75,43.5,147,return,1,2016-06-21,6
91,-66.91666667,43.6,148,return,2,2016-06-17,1
