id,id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
23,23,1,BP_T01,Transect,3118,37,1,38.333976,9326,9552,36000.36318,36999.12327,20240505, 20:56:24.7560,20240505, 21:00:10.7680,45.21823674,-64.99201643,45.22209026,-64.98053902,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.63714E-07,38,
24,24,1,BP_T01,Transect,3118,38,1,37.719927,9553,9775,37003.50915,37999.27575,20240505, 21:00:11.7560,20240505, 21:03:53.7560,45.22210669,-64.98048825,45.22605012,-64.96911662,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.75923E-07,38,
25,25,1,BP_T01,Transect,3118,39,1,36.37966,9776,9989,38003.80312,38995.98051,20240505, 21:03:54.7560,20240505, 21:07:27.7560,45.2260684,-64.9690651,45.2299434,-64.95769328,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.31071E-07,38,
26,26,1,BP_T01,Transect,3118,40,1,34.935973,9990,10204,39000.63617,39995.97126,20240505, 21:07:28.7560,20240505, 21:11:02.7570,45.22996185,-64.95764005,45.23372305,-64.94614842,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.54902E-07,38,
27,27,1,BP_T01,Transect,3118,41,1,33.642888,10205,10431,40000.51372,40997.40593,20240505, 21:11:03.7560,20240505, 21:14:49.7560,45.23373821,-64.94609469,45.2375217,-64.93458974,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,5.86675E-07,38,
28,28,1,BP_T01,Transect,3118,42,1,32.710375,10432,10657,41001.84491,41998.35459,20240505, 21:14:50.7560,20240505, 21:18:35.7560,45.23753833,-64.93453834,45.24167199,-64.92328835,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.65911E-06,38,
29,29,1,BP_T01,Transect,3118,43,1,33.507721,10658,10879,42002.85284,42998.38365,20240505, 21:18:36.7560,20240505, 21:22:17.7560,45.24169194,-64.92323849,45.2457281,-64.91193355,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.40159E-05,38,
30,30,1,BP_T01,Transect,3118,44,1,33.173075,10880,11112,43002.69507,43996.58662,20240505, 21:22:18.7680,20240505, 21:26:10.7560,45.24574341,-64.91188309,45.2494182,-64.90035041,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.1629E-05,38,
31,31,1,BP_T01,Transect,3118,45,1,32.457027,11113,11346,44000.91334,44997.73269,20240505, 21:26:11.7560,20240505, 21:30:04.7560,45.24943469,-64.90030049,45.25329688,-64.88885021,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.42338E-05,38,
32,32,1,BP_T01,Transect,3118,46,1,32.281659,11347,11580,45001.98046,45998.03216,20240505, 21:30:05.7660,20240505, 21:33:58.7560,45.25331535,-64.88880283,45.25727496,-64.87742978,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.33611E-06,38,
33,33,1,BP_T01,Transect,3118,47,1,32.652021,11581,11789,46002.6008,46997.21638,20240505, 21:33:59.7560,20240505, 21:37:27.7560,45.2572916,-64.87737656,45.26126806,-64.86603688,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.77372E-05,38,
34,34,1,BP_T01,Transect,3118,48,1,31.955642,11790,12011,47001.61713,47998.60388,20240505, 21:37:28.7570,20240505, 21:41:09.7560,45.26128333,-64.86598516,45.26507501,-64.85447962,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.83802E-05,38,
35,35,1,BP_T01,Transect,3118,49,1,31.336621,12012,12237,48003.172,48998.9951,20240505, 21:41:10.7560,20240505, 21:44:55.7560,45.26509165,-64.8544264,45.26884868,-64.84292113,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.82552E-05,38,
36,36,1,BP_T01,Transect,3118,50,1,30.612568,12238,12440,49003.836,49998.24065,20240505, 21:44:56.7560,20240505, 21:48:18.7560,45.26886862,-64.84286629,45.27297323,-64.83162151,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.05128E-05,38,
37,37,1,BP_T01,Transect,3118,51,1,29.09471,12441,12662,50002.9173,50995.74979,20240505, 21:48:19.7560,20240505, 21:52:00.7560,45.2729897,-64.83156667,45.276773,-64.82011858,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,0.000324976,38,
38,38,1,BP_T01,Transect,3118,52,1,27.803513,12663,12886,51000.2951,51995.7833,20240505, 21:52:01.7570,20240505, 21:55:44.7550,45.27678818,-64.82006479,45.28047136,-64.80850713,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,0.000196741,38,
39,39,1,BP_T01,Transect,3118,53,1,26.883717,12887,13120,52000.03401,52997.92045,20240505, 21:55:45.7560,20240505, 21:59:38.7560,45.28048648,-64.80845737,45.28405983,-64.79679733,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.30625E-05,38,
40,40,1,BP_T01,Transect,3118,54,1,26.516544,13121,13237,53002.12716,53484.71288,20240505, 21:59:39.7560,20240505, 22:01:35.7670,45.28407632,-64.79674907,45.28562984,-64.79101699,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.22071E-07,38,
41,41,2,BP_T02,Transect,3118,56,1,26.208031,13853,13859,55968.73586,55995.58355,20240505, 22:11:51.7570,20240505, 22:11:57.7570,45.30084,-64.80866662,45.30082804,-64.80900836,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,5.30028E-08,38,
42,42,2,BP_T02,Transect,3118,57,1,23.221601,13860,14101,56000.0149,56999.81933,20240505, 22:11:58.7560,20240505, 22:15:59.7560,45.30082459,-64.80906464,45.29803694,-64.82092917,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.29985E-06,38,
43,43,2,BP_T02,Transect,3118,58,1,20.058117,14102,14350,57003.73103,57999.68559,20240505, 22:16:00.7610,20240505, 22:20:08.7560,45.29802191,-64.82097427,45.29413524,-64.83240261,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,9.65555E-06,38,
44,44,2,BP_T02,Transect,3118,59,1,28.129916,14351,14588,58003.99049,58996.83501,20240505, 22:20:09.7570,20240505, 22:24:06.7570,45.29411866,-64.83245221,45.29002024,-64.84368901,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,0.00038344,38,
45,45,2,BP_T02,Transect,3118,60,1,27.283509,14589,14836,59000.90735,59997.51268,20240505, 22:24:07.7560,20240505, 22:28:14.7670,45.2900038,-64.8437354,45.28590385,-64.85502621,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,8.73664E-05,38,
46,46,2,BP_T02,Transect,3118,61,1,26.023199,14837,15095,60001.24567,60997.19868,20240505, 22:28:15.7570,20240505, 22:32:33.7680,45.28588721,-64.85506754,45.28192549,-64.86643626,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,0.000304658,38,
47,47,2,BP_T02,Transect,3118,62,1,25.088539,15096,15354,61001.0319,61996.48154,20240505, 22:32:34.7550,20240505, 22:36:52.7560,45.28190854,-64.86647881,45.27788201,-64.87778882,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,0.00402401,38,
48,48,2,BP_T02,Transect,3118,63,1,26.86353,15355,15610,62000.35365,62997.54371,20240505, 22:36:53.7670,20240505, 22:41:08.7560,45.27786667,-64.87783313,45.27378926,-64.88912867,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,6.06771E-07,38,
49,49,2,BP_T02,Transect,3118,64,1,27.89043,15611,15868,63001.57786,63996.85339,20240505, 22:41:09.7560,20240505, 22:45:26.7560,45.27377237,-64.88917418,45.26968893,-64.90044383,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.47504E-07,38,
50,50,2,BP_T02,Transect,3118,65,1,28.570637,15869,16114,64000.40577,64999.84398,20240505, 22:45:27.7560,20240505, 22:49:32.7560,45.26967684,-64.9004857,45.26586255,-64.91200705,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.41495E-06,38,
51,51,2,BP_T02,Transect,3118,66,1,28.920172,16115,16341,65004.20724,65995.84749,20240505, 22:49:33.7560,20240505, 22:53:19.7560,45.26584398,-64.91205603,45.26159504,-64.92315748,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.78644E-05,38,
52,52,2,BP_T02,Transect,3118,67,1,29.123649,16342,16574,66000.08725,66998.24434,20240505, 22:53:20.7670,20240505, 22:57:12.7560,45.26157654,-64.92320472,45.25748536,-64.93451101,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.09403E-06,38,
53,53,2,BP_T02,Transect,3118,68,1,29.144824,16575,16807,67002.50628,67998.26806,20240505, 22:57:13.7560,20240505, 23:01:05.7560,45.25747025,-64.93456091,45.25348874,-64.9459142,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.22654E-06,38,
54,54,2,BP_T02,Transect,3118,69,1,28.8464,16808,17041,68002.58744,68997.0222,20240505, 23:01:06.7560,20240505, 23:04:59.7570,45.25347372,-64.94596495,45.24934342,-64.95717776,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.19542E-06,38,
55,55,2,BP_T02,Transect,3118,70,1,28.34876,17042,17279,69001.12304,69996.44535,20240505, 23:05:00.7560,20240505, 23:08:57.7560,45.24932665,-64.95722428,45.2453234,-64.96853812,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.31718E-06,38,
56,56,2,BP_T02,Transect,3118,71,1,26.99197,17280,17520,70000.75182,70997.51219,20240505, 23:08:58.7560,20240505, 23:12:58.7560,45.24530708,-64.96858786,45.24166485,-64.9801609,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.51027E-05,38,
57,57,2,BP_T02,Transect,3118,72,1,25.595023,17521,17760,71001.77115,71999.65962,20240505, 23:12:59.7570,20240505, 23:16:58.7560,45.24164504,-64.98020733,45.23723007,-64.99126405,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,8.15552E-07,38,
58,58,2,BP_T02,Transect,3118,73,1,24.114307,17761,18005,72003.82669,72996.17488,20240505, 23:16:59.7560,20240505, 23:21:03.7560,45.23721192,-64.99131048,45.23305035,-65.00247895,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.36199E-07,38,
59,59,2,BP_T02,Transect,3118,74,1,27.066994,18006,18248,73000.08758,73997.03917,20240505, 23:21:04.7560,20240505, 23:25:06.7560,45.23303525,-65.00252396,45.22925094,-65.01402506,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.383E-07,38,
60,60,2,BP_T02,Transect,3118,75,1,28.120049,18249,18487,74003.39973,74998.00412,20240505, 23:25:07.7560,20240505, 23:29:05.7560,45.22922517,-65.01409738,45.22521369,-65.02540688,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.62821E-07,38,
61,61,2,BP_T02,Transect,3118,76,1,29.96299,18488,18725,75001.99075,75997.14315,20240505, 23:29:06.7560,20240505, 23:33:03.7560,45.22519697,-65.0254518,45.22111662,-65.03671437,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,9.58686E-07,38,
62,62,2,BP_T02,Transect,3118,77,1,33.079666,18726,18961,76001.30611,76996.04688,20240505, 23:33:04.7560,20240505, 23:36:59.7540,45.22109849,-65.03676075,45.2170064,-65.04801017,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,9.47493E-07,38,
63,63,2,BP_T02,Transect,3118,78,1,34.233392,18962,19198,77001.78595,77998.3136,20240505, 23:37:00.7550,20240505, 23:40:56.7560,45.216985,-65.04807667,45.21296171,-65.05939625,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.71971E-06,38,
64,64,2,BP_T02,Transect,3118,79,1,35.600877,19199,19435,78002.82903,78998.48557,20240505, 23:40:57.7570,20240505, 23:44:53.7670,45.21294355,-65.05944767,45.20890182,-65.07074923,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.90028E-06,38,
65,65,2,BP_T02,Transect,3118,80,1,34.813079,19436,19673,79002.52464,79999.0224,20240505, 23:44:54.7570,20240505, 23:48:51.7680,45.2088855,-65.07079517,45.20486345,-65.08212615,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.39842E-06,38,
66,66,2,BP_T02,Transect,3118,81,1,32.304788,19674,19907,80003.2226,80998.75831,20240505, 23:48:52.7560,20240505, 23:52:45.7560,45.20484689,-65.0821742,45.20085689,-65.09350881,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.61127E-06,38,
67,67,2,BP_T02,Transect,3118,82,1,29.348487,19908,20149,81003.05583,81996.83982,20240505, 23:52:46.7560,20240505, 23:56:49.7560,45.20083864,-65.09355704,45.1968138,-65.10484373,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.58344E-06,38,
68,68,2,BP_T02,Transect,3118,83,1,29.718308,20150,20390,82000.98076,82998.13164,20240505, 23:56:50.7670,20240506, 00:00:52.7560,45.19679837,-65.10489169,45.1928823,-65.11630416,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.14851E-06,38,
69,69,2,BP_T02,Transect,3118,84,1,30.191866,20391,20624,83002.30503,83996.62089,20240506, 00:00:53.7570,20240506, 00:04:46.7560,45.19286333,-65.11635,45.18874672,-65.12757751,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.13383E-05,38,
70,70,2,BP_T02,Transect,3118,85,1,30.569785,20625,20863,84001.25282,84998.13754,20240506, 00:04:47.7680,20240506, 00:08:48.7560,45.18872669,-65.12762919,45.18465871,-65.13892852,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.35262E-05,38,
71,71,2,BP_T02,Transect,3118,86,1,34.070946,20864,21108,85002.39134,85998.04084,20240506, 00:08:49.7560,20240506, 00:12:55.7670,45.18464113,-65.1389766,45.18061252,-65.15028462,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,6.42047E-05,38,
72,72,2,BP_T02,Transect,3118,87,1,37.916636,21109,21320,86002.24156,86998.75347,20240506, 00:12:56.7570,20240506, 00:16:58.7670,45.1805985,-65.15033423,45.17656339,-65.16164817,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.74416E-05,38,
73,73,2,BP_T02,Transect,3118,88,1,34.969568,21321,21547,87003.05188,87998.78148,20240506, 00:16:59.7560,20240506, 00:20:45.7560,45.17654694,-65.16169766,45.17252024,-65.1730069,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.67527E-05,38,
74,74,2,BP_T02,Transect,3118,89,1,34.198614,21548,21769,88003.24864,88996.11125,20240506, 00:20:46.7680,20240506, 00:24:27.7560,45.17250053,-65.17305643,45.16850687,-65.18435092,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.46295E-05,38,
75,75,2,BP_T02,Transect,3118,90,1,33.496558,21770,21990,89000.77753,89999.38833,20240506, 00:24:28.7560,20240506, 00:28:08.7560,45.16848859,-65.18440435,45.16450694,-65.19578583,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.16408E-05,38,
76,76,2,BP_T02,Transect,3118,91,1,34.012713,21991,22210,90004.15998,90999.95927,20240506, 00:28:09.7570,20240506, 00:31:48.7560,45.16448864,-65.19584074,45.16054194,-65.20720533,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.38769E-05,38,
77,77,2,BP_T02,Transect,3118,92,1,32.448885,22211,22427,91004.29165,91998.04138,20240506, 00:31:49.7560,20240506, 00:35:25.7570,45.16052377,-65.20725406,45.15653519,-65.21855985,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.02577E-05,38,
78,78,2,BP_T02,Transect,3118,93,1,33.425612,22428,22641,92003.10571,92996.64573,20240506, 00:35:26.7560,20240506, 00:38:59.7560,45.15651692,-65.21861884,45.15246346,-65.22987423,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,7.95666E-06,38,
79,79,2,BP_T02,Transect,3118,94,1,32.813835,22642,22670,93001.48348,93132.86675,20240506, 00:39:00.7560,20240506, 00:39:28.7680,45.15244363,-65.22992899,45.15189175,-65.23140575,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.1461E-06,38,
80,80,1,LM_T01,Transect,3119,170,1,40.292886,30,125,169597.8542,169996.0722,20240505, 19:45:51.2320,20240505, 19:47:26.2320,45.09021304,-65.23410518,45.09192114,-65.22977082,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,3.51904E-06,38,
81,81,1,LM_T01,Transect,3119,171,1,39.325943,126,351,170000.5636,170997.9676,20240505, 19:47:27.2430,20240505, 19:51:12.2320,45.09193877,-65.22971949,45.09582528,-65.21832335,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,1.4311E-05,38,
82,82,1,LM_T01,Transect,3119,172,1,37.983467,352,574,171002.2318,171997.5053,20240505, 19:51:13.2320,20240505, 19:54:55.2320,45.09584277,-65.21827513,45.09961118,-65.20683072,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,1.34783E-05,38,
83,83,1,LM_T01,Transect,3119,173,1,33.69201,575,794,172001.8085,172994.996,20240505, 19:54:56.2320,20240505, 19:58:35.2320,45.09962948,-65.20678254,45.10333377,-65.19535634,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,8.81032E-07,38,
84,84,1,LM_T01,Transect,3119,174,1,36.264071,795,1014,173000.1931,173997.0189,20240505, 19:58:36.2330,20240505, 20:02:15.2330,45.10335129,-65.1952955,45.1069821,-65.18376212,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,3.15638E-07,38,
85,85,1,LM_T01,Transect,3119,175,1,38.449881,1015,1232,174000.9963,174997.697,20240505, 20:02:16.2320,20240505, 20:05:53.2320,45.10699871,-65.18371736,45.11075821,-65.17239099,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,5.32409E-07,38,
86,86,1,LM_T01,Transect,3119,176,1,38.471562,1233,1454,175003.0583,175998.7686,20240505, 20:05:54.2320,20240505, 20:09:35.2320,45.1107765,-65.1723283,45.11467151,-65.16096393,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,9.55131E-06,38,
87,87,1,LM_T01,Transect,3119,177,1,42.164378,1455,1680,176003.2893,176998.0808,20240505, 20:09:36.2320,20240505, 20:13:21.2320,45.11469069,-65.16091328,45.11859487,-65.1496019,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,4.7142E-06,38,
88,88,1,LM_T01,Transect,3119,178,1,40.294314,1681,1912,177002.3374,177996.2764,20240505, 20:13:22.2430,20240505, 20:17:13.2320,45.11861,-65.14955221,45.12239004,-65.13818669,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,1.09112E-05,38,
89,89,1,LM_T01,Transect,3119,179,1,38.323101,1913,2150,178000.7708,178997.9766,20240505, 20:17:14.2320,20240505, 20:21:11.2320,45.12240743,-65.13813513,45.12616675,-65.12672326,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,6.33369E-06,38,
90,90,1,LM_T01,Transect,3119,180,1,38.668248,2151,2388,179002.4323,179995.614,20240505, 20:21:12.2330,20240505, 20:25:09.2330,45.12618323,-65.12667167,45.12993605,-65.11533019,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,2.2616E-07,38,
91,91,1,LM_T01,Transect,3119,181,1,38.534098,2389,2628,180000.0153,180998.0509,20240505, 20:25:10.2320,20240505, 20:29:09.2320,45.12995266,-65.11527941,45.13385859,-65.10398444,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,7.22942E-06,38,
92,92,1,LM_T01,Transect,3119,182,1,37.596012,2629,2870,181002.6083,181996.1281,20240505, 20:29:10.2320,20240505, 20:33:11.2320,45.13387595,-65.10393197,45.13775089,-65.09269977,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,6.51635E-06,38,
93,93,1,LM_T01,Transect,3119,183,1,36.783446,2871,3109,182000.5083,182995.5883,20240505, 20:33:12.2320,20240505, 20:37:10.2330,45.13776607,-65.09264845,45.14157778,-65.08131238,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,1.28146E-07,38,
94,94,1,LM_T01,Transect,3119,184,1,36.115664,3110,3354,183000.1476,183998.9666,20240505, 20:37:11.2320,20240505, 20:41:15.2320,45.14159454,-65.08125947,45.14540665,-65.06992908,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,4.26646E-05,38,
95,95,1,LM_T01,Transect,3119,185,1,35.422631,3355,3583,184002.6792,184998.4486,20240505, 20:41:16.2320,20240505, 20:45:04.2320,45.14542628,-65.06989179,45.14912938,-65.05843512,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,9.57808E-05,38,
96,96,1,LM_T01,Transect,3119,186,1,34.420449,3584,3803,185002.7075,185998.3609,20240505, 20:45:05.2320,20240505, 20:48:44.2320,45.1491446,-65.0583855,45.15289574,-65.04693717,14.0.206.0,20240514, 11:11:14.0480,LM_May05_2024,1.43483E-05,38,
