Year,Month,Date,Vessel,Area,Type,Size,Fat
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Medium,10
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Medium,10.4
2010,6,2010-06-17,unknown,The Patch,Filet,Medium,13
2010,6,2010-06-17,unknown,The Patch,Filet,Medium,12.8
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Small,17.4
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Small,19
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Small,10.2
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Medium,15
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Medium,12.4
2010,6,2010-06-15,Lady Melissa,The Patch,Filet,Medium,10
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Small,16.6
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Small,16.4
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Medium,16
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Medium,16.2
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Large,12
2010,6,2010-06-10,Lady Melissa,The Patch,Filet,Large,17.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Small,15.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Small,20
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Medium,12.2
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Medium,16.6
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Large,15.8
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Large,18.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Small,14.2
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Small,16.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Medium,19
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Medium,13.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Large,12.4
2010,6,2010-06-09,Lady Melissa,The Patch,Filet,Large,19.6
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Medium,13.4
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Medium,17.4
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Medium,17.2
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Large,15
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Large,14.4
2010,6,2010-06-05,Lady Melissa,The Patch,Filet,Large,15.2
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,16.2
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,18.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,17
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Large,15.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Large,10.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Large,18.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Small,20.6
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Small,17.8
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Small,20.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,12.4
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,12.6
2010,6,2010-06-01,Lady Melissa,The Patch,Filet,Medium,13.6
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Medium,16.2
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Medium,16.4
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Medium,18.6
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Large,14.2
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Large,13
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Large,14.2
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Small,16
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Small,16.6
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Medium,9.6
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Medium,10.8
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Large,13.2
2010,5,2010-05-31,Lady Melissa,The Patch,Filet,Large,15
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Medium,18
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Medium,17.2
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Medium,17.4
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Large,15
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Large,12.6
2010,5,2010-05-30,Lady Melissa,The Patch,Filet,Large,16.4
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Small,14
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Small,18
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Medium,17.4
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Medium,15.2
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Medium,17.8
2010,5,2010-05-30,Leroy & Barry,The Patch,Filet,Large,16.4
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,12.8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,15.2
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,11
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,9.2
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,14.4
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,13.6
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,17.8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,14.8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,17.4
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,15.6
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Medium,20.8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,14.8
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,14.2
2010,5,2010-05-27,Lady Melissa,The Patch,Filet,Large,18.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,12
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,12.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,13.4
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,9
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,12
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,10.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,12
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,14.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,13.4
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,9.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,7.8
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,15
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Small,15.2
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Small,19.6
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,11.6
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Medium,15
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,10.6
2010,5,2010-05-26,Lady Melissa,The Patch,Filet,Large,14.2
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Small,21.6
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Small,19
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Medium,18.2
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Medium,18.4
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Large,16.8
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Large,14
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Small,21.6
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Small,19
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Small,16.2
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Medium,19
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Medium,22.6
2010,5,2010-05-23,Lady Melissa,off Shelburne,Filet,Medium,18.6
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Small,12.2
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Small,12.8
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Small,14.2
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Medium,18.2
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Medium,20.2
2010,5,2010-05-22,Lady Melissa,off Shelburne,Filet,Medium,16.8
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Small,12.8
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Small,20
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Small,21
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Medium,17.6
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Medium,14.8
2010,5,2010-05-19,Lady Melissa,off Shelburne,Filet,Medium,18.6
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Small,19.4
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Small,18.4
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Medium,12.6
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Medium,20.6
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Medium,16.6
2010,5,2010-05-18,Lady Melissa,off Shelburne,Filet,Large,12.2
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Small,8.2
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Small,16.4
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Small,12
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Medium,17.2
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Medium,12.2
2010,5,2010-05-17,Lady Melissa,off Shelburne,Filet,Medium,17.4
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Small,11
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Small,9.4
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Medium,8.6
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Medium,6.6
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Large,10.2
2009,10,2009-10-05,Lady Janice,German Bank,Filet,Large,10.6
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Small,12.2
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Small,11.8
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Medium,10.6
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Medium,13.6
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Large,10
2009,9,2009-09-30,Lady Melissa,German Bank,Filet,Large,8.4
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Small,9.4
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Small,11.6
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Medium,8.8
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Medium,11.8
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Large,12.6
2009,9,2009-09-23,Lady Janice,German Bank,Filet,Large,11.2
2009,9,2009-09-22,Lady Melissa,German Bank,Filet,Small,11.2
2009,9,2009-09-22,Lady Melissa,German Bank,Filet,Small,10.6
2009,9,2009-09-22,Lady Melissa,German Bank,Filet,Small,11.6
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Small,13.4
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Small,10.8
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Medium,13
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Medium,13.8
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Large,11
2009,9,2009-09-21,Lady Melissa,German Bank,Filet,Large,10.2
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Small,12
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Small,17.4
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Medium,6.4
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Medium,10.2
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Large,20.6
2009,9,2009-09-12,Lady Janice,German Bank,Filet,Large,14.6
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Small,11.4
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Small,11.6
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Medium,6.8
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Medium,12.8
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Large,18
2009,9,2009-09-11,Lady Melissa,German Bank,Filet,Large,17.4
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Small,18.6
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Small,15.4
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Medium,11.8
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Medium,10.4
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Large,16
2009,9,2009-09-10,Lady Janice,German Bank,Filet,Large,21.8
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Small,9.4
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Small,15.8
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Medium,7.6
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Medium,9.4
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Large,12.8
2009,9,2009-09-08,Lady Melissa,German Bank,Filet,Large,16.2
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Small,16.4
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Small,12.2
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Medium,10.6
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Medium,11.6
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Large,10.2
2009,8,2009-08-28,Lady Melissa,German Bank,Dressed,Large,10.8
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Small,16.6
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Small,14.2
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Medium,16.6
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Medium,12
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Large,19
2009,8,2009-08-27,Lady Janice,German Bank,Dressed,Large,14.4
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Small,16.4
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Small,9.8
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Medium,14
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Medium,17
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Large,9.8
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Large,16.2
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Small,14.4
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Small,13.4
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Medium,14.4
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Medium,9.8
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Large,13.8
2009,8,2009-08-25,Lady Janice,German Bank,Dressed,Large,15
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Small,14.4
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Small,11.8
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Small,10.8
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Medium,15.8
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Medium,13.6
2009,8,2009-08-21,Lady Melissa,German Bank,Dressed,Medium,17.8
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Small,14.8
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Small,11
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Medium,11.6
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Medium,10.4
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Large,14.6
2009,8,2009-08-20,Lady Janice,German Bank,Dressed,Large,15
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Small,15.6
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Small,19.4
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Medium,15
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Medium,9
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Large,10.2
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Large,10
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Small,16
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Small,15.6
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Medium,16.8
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Medium,10.2
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Large,9.8
2009,8,2009-08-19,Lady Noreen,German Bank,Dressed,Large,18.4
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Small,14.2
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Small,15.2
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Medium,16.6
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Medium,16
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Large,14.6
2009,8,2009-08-18,Lady Janice,German Bank,Dressed,Large,14.8
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Small,11.4
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Small,12
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Medium,12.6
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Medium,11.8
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Large,15.4
2009,8,2009-08-18,Lady Noreen,German Bank,Dressed,Large,9.8
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Small,14.2
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Small,15.6
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Medium,15.6
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Medium,10.6
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Large,11.8
2009,8,2009-08-17,Lady Melissa,German Bank,Dressed,Large,13.2
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Small,12.6
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Small,12.4
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Medium,15.2
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Medium,9.8
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Large,11.4
2009,8,2009-08-17,Lady Janice,German Bank,Dressed,Large,11.6
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Small,17.2
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Small,13.4
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Medium,16.2
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Medium,15.8
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Large,13
2009,8,2009-08-14,Lady Melissa,German Bank,Dressed,Large,17.8
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Small,17
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Small,13.8
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Medium,10.4
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Medium,12.6
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Large,14.6
2009,8,2009-08-13,Lady Noreen,German Bank,Dressed,Large,17.8
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Small,14.4
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Small,13.2
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Medium,12.6
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Medium,16.2
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Large,13.8
2009,8,2009-08-13,Lady Melissa,German Bank,Dressed,Large,14.2
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Small,16
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Small,16.4
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Medium,17
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Medium,15.6
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Large,11
2009,8,2009-08-12,Lady Melissa,German Bank,Dressed,Large,15.2
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Small,13.8
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Small,17.8
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Medium,15.8
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Medium,16.4
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Large,14
2009,8,2009-08-12,Lady Janice,German Bank,Dressed,Large,15.8
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Small,16.4
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Small,16
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,14.6
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,15
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,10.8
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Large,12.8
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Small,15.8
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Small,17.2
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Small,17.4
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,15.6
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,14.8
2009,8,2009-08-11,Lady Noreen,German Bank,Dressed,Medium,18.4
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Small,11.4
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Small,17.2
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Medium,15.2
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Medium,10.6
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Large,16.8
2009,8,2009-08-10,Lady Janice,German Bank,Dressed,Large,10.8
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Small,11.4
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Small,17.2
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Small,15.6
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Medium,13.6
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Medium,15
2009,8,2009-08-10,Lady Melissa,German Bank,Filet,Medium,14.8
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Small,16.8
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Small,14.6
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Medium,13.2
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Medium,16
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Large,17.6
2009,7,2009-07-27,Lady Janice,Not Specified,Dressed,Large,11.6
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Small,15.4
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Small,18
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Medium,18.6
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Medium,16.4
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Large,13.2
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Large,10
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Small,13.2
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Small,10.4
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Medium,16.4
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Medium,12.4
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Large,7.8
2009,7,2009-07-20,Lady Noreen,Teardrop,Dressed,Large,8.4
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Small,15.6
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Small,16
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Medium,15.8
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Medium,15.8
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Large,17.6
2009,7,2009-07-17,Lady Janice,Not Specified,Dressed,Large,21.2
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Small,12
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Small,18.2
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Medium,12.8
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Medium,10.8
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Large,15.2
2009,7,2009-07-13,Lady Janice,Not Specified,Filet,Large,11.2
2009,7,2009-07-13,Lady Janice,Not Specified,Dressed,Small,11.6
