Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,id,Y,X,Yend,Xend,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
LM,T01,2025-05-06T18:43:28Z,2025-05-06T21:27:02Z,-65.23651177,45.15090068,-64.7989093,45.30353045,38.937978523,Actual,NA,NA,NA,NA,NA,1,SB,38.937978523,2025-05-06T18:43:28Z,2025-05-06T21:27:02Z,9814,7.712370101095202,2025,2025-05-06
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.09001961,-65.23333333,45.25551961,-64.74033333,1,SB,55.43056116403677,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.10534902,-65.23333333,45.26674902,-64.75726667,1,SB,53.536850600635,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.12067843,-65.23333333,45.27797843,-64.7742,1,SB,51.643260780268584,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.13600784,-65.23333333,45.28920784,-64.79113333,1,SB,49.74980285844465,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.15133725,-65.23333333,45.30043725,-64.80806667,1,SB,47.8564899302923,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,1,45.16666667,-65.23333333,45.31166667,-64.825,1,SB,45.96334073291823,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,2,45.25,-65.05,45.31666667,-64.83333333,1,SB,24.32317028207395,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.26305,-65.05,45.32445,-64.85,1,SB,22.451198529019706,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,4,45.27611667,-65.05,45.33221667,-64.86666667,1,SB,20.579047576416635,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,5,45.28916667,-65.05,45.34,-64.88333333,1,SB,18.707123522417586,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,3,45.254,-64.735,45.307,-64.55,1,SB,20.74853009179072,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,4,45.269,-64.757,45.328,-64.55,1,SB,23.214031313483602,NA,NA,NA,NA,NA,NA
