set,X,Y,RELEASE_DATE,RELEASE_VESSEL,Tagger,no_tags,Year,month,Julian,week
34,-66.3945,43.3017,2016-08-12,Lady Janice,Cody Mark,350,2016,8,225,33
35,-67.0152,44.2657,2016-08-15,Canada 100,Nicole Seamone,1000,2016,8,228,33
36,-67.1142,44.265,2016-08-16,Canada 100,Nicole Seamone,500,2016,8,229,33
37,-66.9992,44.258,2016-08-17,Canada 100,Nicole Seamone,750,2016,8,230,33
38,-67.0095,44.2843,2016-09-01,Canada 100,Nicole Seamone,1000,2016,9,245,35
39,-67.0368,44.2497,2016-09-07,Canada 100,Nicole Seamone,750,2016,9,251,36
40,-66.9297,43.60833333,2017-06-12,Leroy and Barry,Cody Mark,300,2017,6,163,24
41,-66.9308,43.625,2017-06-13,Leroy and Barry,Cody Mark,377,2017,6,164,24
42,-66.8457,43.70683333,2017-06-14,Leroy and Barry,Cody Mark,423,2017,6,165,24
43,-66.0465,43.22866667,2017-07-20,Lady Melissa,Cody Mark,400,2017,7,201,29
44,-67.0503,44.25516667,2017-07-23,Canada 100,Nicole Seamone,600,2017,7,204,30
45,-66.3812,43.43866667,2017-07-25,Lady Janice,Cody Mark,750,2017,7,206,30
46,-67.0403,44.25366667,2017-07-25,Canada 100,Nicole Seamone,1349,2017,7,206,30
47,-66.362,43.3805,2017-07-26,Lady Janice,Cody Mark,750,2017,7,207,30
48,-66.41,43.48667,2017-07-26,Lady Janice,Cody Mark,750,2017,7,207,30
49,-66.4178,43.43233333,2017-07-27,Lady Janice,Cody Mark,698,2017,7,208,30
50,-66.6723,44.44633333,2018-06-26,Canada 100,Nicole Seamone,858,2018,6,177,26
51,-66.6723,44.44633333,2018-06-27,Canada 100,Nicole Seamone,835,2018,6,178,26
52,-66.6405,44.61216667,2018-07-02,Canada 100,Nicole Seamone,1050,2018,7,183,27
53,-66.6555,44.64683333,2018-07-03,Canada 100,Nicole Seamone,900,2018,7,184,27
54,-64.8616,45.21988333,2018-07-22,Morning Star,Lisa Houston,78,2018,7,203,29
55,-64.8906,45.16083333,2018-07-24,Morning Star,Lisa Houston,166,2018,7,205,30
56,-64.895,45.2112,2018-08-06,Morning Star,Lisa Houston,100,2018,8,218,32
57,-64.9125,45.15581667,2018-08-07,Morning Star,Lisa Houston,94,2018,8,219,32
58,-64.9502,45.13298333,2018-08-07,Morning Star,Lisa Houston,150,2018,8,219,32
59,-66.094,44.57166667,2018-08-12,Canada 100,Nicole Seamone,1050,2018,8,224,32
60,-66.096,44.51016667,2018-08-13,Canada 100,Nicole Seamone,550,2018,8,225,33
61,-66.0972,44.67266667,2018-08-13,Canada 100,Nicole Seamone,538,2018,8,225,33
62,-66.1025,44.50583333,2018-08-13,Canada 100,Nicole Seamone,262,2018,8,225,33
63,-64.9099,45.18071667,2018-08-19,Morning Star,Lisa Houston,100,2018,8,231,33
64,-65.0784,45.12278333,2018-08-19,Morning Star,Lisa Houston,130,2018,8,231,33
65,-66.284,44.34333333,2018-08-20,Canada 100,Nicole Seamone,700,2018,8,232,34
66,-66.2747,44.356,2018-08-23,Canada 100,Nicole Seamone,600,2018,8,235,34
67,-66.299,44.32533333,2018-08-23,Canada 100,Nicole Seamone,550,2018,8,235,34
68,-64.9832,45.178,2018-09-03,Morning Star,Lisa Houston,150,2018,9,246,36
69,-64.8643,45.2227,2018-09-04,Morning Star,Lisa Houston,50,2018,9,247,36
70,-64.8774,45.21323333,2018-09-04,Morning Star,Lisa Houston,94,2018,9,247,36
71,-66.3497,43.38088333,2018-09-10,Morning Star,Lisa Houston,138,2018,9,253,37
72,-66.3572,43.3074,2018-09-10,Morning Star,Lisa Houston,100,2018,9,253,37
73,-66.3614,43.47846667,2018-09-10,Morning Star,Lisa Houston,100,2018,9,253,37
74,-66.3481,43.46735,2018-09-12,Morning Star,Lisa Houston,101,2018,9,255,37
75,-66.3799,43.3298,2018-09-13,Morning Star,Lisa Houston,94,2018,9,256,37
76,-66.3566,43.37263333,2018-09-21,Morning Star,Lisa Houston,150,2018,9,264,38
77,-66.3601,43.46845,2018-09-23,Morning Star,Lisa Houston,150,2018,9,266,38
78,-66.3432,43.464,2018-09-24,Morning Star,Lisa Houston,100,2018,9,267,39
79,-66.3481,43.46365,2018-10-03,Morning Star,Lisa Houston,144,2018,10,276,40
80,-66.3489,43.42971667,2018-10-04,Morning Star,Lisa Houston,100,2018,10,277,40
81,-66.973,44.291,2019-06-04,Canada 100,Nicole Seamone,1100,2019,6,155,23
82,-66.9765,44.2885,2019-06-05,Canada 100,Nicole Seamone,799,2019,6,156,23
83,-66.7198,44.392,2019-06-12,Canada 100,Nicole Seamone,500,2019,6,163,24
84,-66.7092,44.41386667,2019-06-17,Morning Star,Lisa Houston,250,2019,6,168,24
85,-66.9067,43.61138333,2019-06-18,Morning Star,Lisa Houston,200,2019,6,169,25
86,-66.8387,43.57593333,2019-06-19,Morning Star,Lisa Houston,100,2019,6,170,25
87,-66.9121,43.63588333,2019-06-19,Morning Star,Lisa Houston,147,2019,6,170,25
88,-66.9181,43.63685,2019-06-19,Morning Star,Lisa Houston,394,2019,6,170,25
89,-66.7,44.416,2019-06-20,Canada 100,Nicole Seamone,375,2019,6,171,25
90,-64.8439,45.29605,2019-06-24,Morning Star,Lisa Houston,100,2019,6,175,25
91,-64.8643,45.29901667,2019-06-24,Morning Star,Lisa Houston,100,2019,6,175,25
92,-66.9644,44.28195,2019-07-03,Lady Melissa,Lisa Houston,250,2019,7,184,27
93,-66.9652,44.28208333,2019-07-04,Lady Melissa,Lisa Houston,344,2019,7,185,27
94,-67.1728,44.2866,2019-07-04,Lady Melissa,Lisa Houston,300,2019,7,185,27
95,-64.836,45.22008333,2019-07-07,Leroy and Barry,Lisa Houston,100,2019,7,188,27
96,-65.0137,45.11374167,2019-07-07,Fundy Monarch,Manon Holmes,150,2019,7,188,27
97,-64.9086,45.14918333,2019-07-08,Leroy and Barry,Lisa Houston,150,2019,7,189,27
98,-64.883,45.15,2019-07-09,Leroy and Barry,Lisa Houston,200,2019,7,190,28
99,-64.9398,45.13606667,2019-07-09,Leroy and Barry,Lisa Houston,250,2019,7,190,28
100,-65.4,44.977,2019-07-21,Leroy and Barry,Lisa Houston,250,2019,7,202,29
101,-64.9887,45.1977,2019-07-21,Leroy and Barry,Lisa Houston,250,2019,7,202,29
102,-64.9936,45.18905,2019-07-21,Lady Melissa,Manon Holmes,100,2019,7,202,29
103,-65.0188,45.1882,2019-07-21,Leroy and Barry,Lisa Houston,200,2019,7,202,29
104,-66.5047,43.91701667,2019-07-23,Leroy and Barry,Lisa Houston,400,2019,7,204,30
105,-66.5076,43.84401667,2019-07-24,Leroy and Barry,Lisa Houston,400,2019,7,205,30
106,-66.4858,43.82458333,2019-07-25,Leroy and Barry,Lisa Houston,344,2019,7,206,30
107,-66.5043,43.8427,2019-07-26,Leroy and Barry,Lisa Houston,300,2019,7,207,30
108,-66.4637,44.1137,2019-07-28,Morning Star,Lisa Houston,350,2019,7,209,30
109,-66.4901,44.13788333,2019-07-30,Morning Star,Lisa Houston,250,2019,7,211,31
110,-66.4945,44.14418333,2019-07-30,Morning Star,Lisa Houston,350,2019,7,211,31
111,-66.485,44.1399,2019-07-31,Morning Star,Lisa Houston,300,2019,7,212,31
112,-64.8406,45.2091,2019-08-05,Morning Star,Lisa Houston,400,2019,8,217,31
113,-64.904,45.23232,2019-08-05,Lady Melissa,Manon Holmes,200,2019,8,217,31
114,-65.0497,45.16448,2019-08-05,Morning Star,Lisa Houston,200,2019,8,217,31
115,-65.0085,45.18925,2019-08-06,Lady Melissa,Manon Holmes,100,2019,8,218,32
116,-65.1709,45.06175,2019-08-06,Lady Melissa,Manon Holmes,100,2019,8,218,32
117,-64.98,45.202,2019-08-19,Morning Star,Lisa Houston,250,2019,8,231,33
118,-65.2312,45.04741667,2019-08-19,Lady Melissa,Manon Holmes,100,2019,8,231,33
119,-66.3535,43.46675,2019-08-26,Morning Star,Lisa Houston,250,2019,8,238,34
120,-66.2193,43.72113333,2019-08-26,Lady Melissa,Manon Holmes,150,2019,8,238,34
121,-66.3496,43.39391667,2019-08-27,Morning Star,Lisa Houston,200,2019,8,239,35
122,-66.4824,44.13136667,2019-08-28,Morning Star,Lisa Houston,251,2019,8,240,35
123,-64.9417,45.15295,2019-09-02,Lady Melissa,Manon Holmes,100,2019,9,245,35
124,-64.9516,45.16045,2019-09-02,Morning Star,Lisa Houston,200,2019,9,245,35
125,-64.9817,45.13745,2019-09-02,Morning Star,Lisa Houston,150,2019,9,245,35
126,-66.3462,43.44247,2019-09-05,Morning Star,Lisa Houston,300,2019,9,248,36
127,-66.3551,43.27336667,2019-09-10,Morning Star,Lisa Houston,101,2019,9,253,37
128,-66.3585,43.27106667,2019-09-10,Morning Star,Lisa Houston,250,2019,9,253,37
129,-66.3662,43.27,2019-09-12,Morning Star,Lisa Houston,450,2019,9,255,37
130,-64.9311,45.15547,2019-09-16,Morning Star,Lisa Houston,450,2019,9,259,37
131,-64.964,45.2613,2019-09-16,Lady Melissa,Manon Holmes,150,2019,9,259,37
132,-66.3593,43.30595,2019-09-26,Morning Star,Lisa Houston,413,2019,9,269,39
133,-66.378,43.3213,2019-09-29,Morning Star,Lisa Houston,250,2019,9,272,39
134,-66.7091,44.87735,2019-10-03,Morning Star,Lisa Houston,150,2019,10,276,40
135,-66.7281,44.8713,2019-10-03,Morning Star,Lisa Houston,300,2019,10,276,40
136,-66.0784,43.2669,2019-10-13,Lady Melissa,Manon Holmes,175,2019,10,286,41
137,-66.2941,43.28953333,2019-10-13,Morning Star,Lisa Houston,400,2019,10,286,41
138,-66.1228,43.28651667,2019-10-14,Lady Melissa,Manon Holmes,175,2019,10,287,41
139,-66.1393,43.30968333,2019-10-14,Morning Star,Lisa Houston,600,2019,10,287,41
140,-66.1767,43.34158333,2019-10-14,Morning Star,Lisa Houston,250,2019,10,287,41
141,-67.1134,44.13903333,2019-10-20,Morning Star,Lisa Houston,300,2019,10,293,42
142,-67.0127,44.27216667,2020-06-07,Canada 100,Nicole Seamone,375,2020,6,159,23
143,-66.865,43.64667,2020-06-08,Sealife II,Lisa Houston,151,2020,6,160,23
144,-66.9967,44.28066667,2020-06-08,Canada 100,Nicole Seamone,350,2020,6,160,23
145,-66.9267,43.625,2020-06-09,Sealife II,Lisa Houston,200,2020,6,161,23
146,-66.8817,43.76833333,2020-06-10,Sealife II,Lisa Houston,400,2020,6,162,24
147,-64.5235,45.27133,2020-06-14,Lady Melissa,Emilie Knighton,101,2020,6,166,24
148,-64.9492,45.26863,2020-06-14,Lady Melissa,Emilie Knighton,100,2020,6,166,24
149,-64.8353,45.1768,2020-06-15,Lady Melissa,Emilie Knighton,110,2020,6,167,24
150,-64.9473,45.1632,2020-06-15,Lady Melissa,Emilie Knighton,60,2020,6,167,24
151,-64.9509,45.1587,2020-06-15,Sealife II,Lisa Houston,250,2020,6,167,24
152,-66.9091,43.608,2020-06-16,Sealife II,Lisa Houston,250,2020,6,168,24
153,-65.9979,43.1161,2020-06-28,Sealife II,Lisa Houston,200,2020,6,180,26
154,-65.9993,43.0699,2020-06-28,Lady Melissa,Emilie Knighton,75,2020,6,180,26
155,-66.0085,43.09837,2020-06-28,Lady Melissa,Emilie Knighton,54,2020,6,180,26
156,-65.9567,43.0688,2020-06-29,Sealife II,Lisa Houston,150,2020,6,181,26
157,-65.9806,43.0546,2020-06-29,Sealife II,Lisa Houston,100,2020,6,181,26
158,-66.0153,43.0528,2020-06-29,Sealife II,Lisa Houston,100,2020,6,181,26
159,-65.9506,42.9865,2020-06-30,Sealife II,Lisa Houston,150,2020,6,182,26
160,-65.9992,43.1055,2020-07-01,Sealife II,Lisa Houston,100,2020,7,183,27
161,-66.0483,43.1144,2020-07-01,Sealife II,Lisa Houston,200,2020,7,183,27
162,-66.0777,43.15397,2020-07-02,Sealife II,Lisa Houston,101,2020,7,184,27
163,-66.1812,43.2013,2020-07-07,Sealife II,Lisa Houston,200,2020,7,189,27
164,-66.4852,43.88995,2020-07-14,Sealife II,Lisa Houston,150,2020,7,196,28
165,-66.435,44.07733,2020-07-16,Canada 100,Nicole Seamone,550,2020,7,198,29
166,-66.4312,44.06417,2020-07-17,Canada 100,Nicole Seamone,600,2020,7,199,29
167,-66.4868,44.13183,2020-07-17,Canada 100,Nicole Seamone,500,2020,7,199,29
168,-65.016,45.11367,2020-08-10,Canada 100,Nicole Seamone,200,2020,8,223,32
169,-65.0277,45.10402,2020-08-10,Sealife II,Lisa Houston,200,2020,8,223,32
170,-65.0482,45.09808,2020-08-10,Lady Melissa,Jenna Munden,93,2020,8,223,32
171,-64.9917,45.13012,2020-08-11,Sealife II,Lisa Houston,150,2020,8,224,32
172,-66.4307,43.45705,2020-08-17,Lady Melissa,Emilie Knighton,221,2020,8,230,33
173,-66.3744,43.3745,2020-08-18,Lady Melissa,Emilie Knighton,158,2020,8,231,33
174,-66.3805,43.32267,2020-08-19,Canada 100,Nicole Seamone,350,2020,8,232,34
175,-65.0066,45.19192,2020-08-24,Lady Melissa,Emilie Knighton,66,2020,8,237,34
176,-65.0152,45.18795,2020-08-24,Sealife II,Lisa Houston,200,2020,8,237,34
177,-66.325,44.325,2020-09-03,Canada 100,Nicole Seamone,2,2020,9,247,36
178,-64.7356,45.23028,2020-09-07,Sealife II,Lisa Houston,250,2020,9,251,36
179,-66.499,43.87567,2020-09-09,Sealife II,Lisa Houston,400,2020,9,253,37
180,-66.5217,43.84215,2020-09-10,Sealife II,Lisa Houston,700,2020,9,254,37
181,-66.3398,43.45883333,2020-09-14,Sealife II,Lisa Houston,300,2020,9,258,37
182,-66.3474,43.25595,2020-09-14,Sealife II,Lisa Houston,150,2020,9,258,37
183,-66.3676,43.26048333,2020-09-14,Sealife II,Lisa Houston,150,2020,9,258,37
184,-66.2112,43.31285,2020-09-24,Sealife II,Lisa Houston,200,2020,9,268,39
185,-66.4387,43.28223,2020-09-28,Lady Melissa,Emilie Knighton,112,2020,9,272,39
186,-66.4392,43.28278,2020-09-28,Sealife II,Lisa Houston,200,2020,9,272,39
187,-66.44,43.28512,2020-09-28,Lady Melissa,Emilie Knighton,137,2020,9,272,39
188,-66.7312,44.96833,2020-10-06,Canada 100,Nicole Seamone,450,2020,10,280,40
189,-66.7407,44.95083,2020-10-06,Canada 100,Nicole Seamone,650,2020,10,280,40
190,-66.742,44.94533,2020-10-06,Canada 100,Nicole Seamone,550,2020,10,280,40
191,-66.7432,44.94567,2020-10-06,Canada 100,Nicole Seamone,350,2020,10,280,40
192,-66.299,43.303,2020-10-11,Lady Melissa,Emilie Knighton,154,2020,10,285,41
193,-66.7118,44.9805,2020-10-11,Canada 100,Nicole Seamone,600,2020,10,285,41
194,-66.7138,44.98,2020-10-13,Canada 100,Nicole Seamone,650,2020,10,287,41
195,-66.6333,44.61472,2020-10-19,Sealife II,Lisa Houston,300,2020,10,293,42
196,-64.8875,45.238611,2021-06-06,Lady Melissa,Darren Kelly,144,2021,6,157,23
197,-64.911667,45.277778,2021-06-06,Morning Star,Lisa Houston,250,2021,6,157,23
198,-64.918333,45.278056,2021-06-06,Sealife II,Lerman D'Eon,200,2021,6,157,23
199,-64.923333,45.279167,2021-06-06,Morning Star,Lisa Houston,100,2021,6,157,23
200,-64.924722,45.280556,2021-06-06,Morning Star,Lisa Houston,150,2021,6,157,23
201,-64.929444,45.2475,2021-06-06,Lady Melissa,Darren Kelly,84,2021,6,157,23
202,-64.940278,45.264167,2021-06-06,Sealife II,Lerman D'Eon,100,2021,6,157,23
203,-64.961111,45.275,2021-06-06,Morning Star,Lisa Houston,200,2021,6,157,23
204,-64.958611,45.275278,2021-06-07,Lady Melissa,Darren Kelly,95,2021,6,158,23
205,-66.980556,44.281667,2021-06-08,Sealife II,Lerman D'Eon,281,2021,6,159,23
206,-64.953611,45.275556,2021-06-08,Sealife II,Lerman D'Eon,164,2021,6,159,23
207,-66.996111,43.630833,2021-06-13,Morning Star,Lisa Houston,300,2021,6,164,24
208,-67.00316667,43.62583333,2021-06-13,Sealife II,Lerman D'Eon,450,2021,6,164,24
209,-66.96216667,43.6125,2021-06-14,Sealife II,Lerman D'Eon,49,2021,6,165,24
210,-66.97898333,43.62055,2021-06-14,Morning Star,Lisa Houston,250,2021,6,165,24
211,-66.98258333,43.62596667,2021-06-14,Lady Janice,Courtney Thomas,100,2021,6,165,24
212,-66.465633,43.721483,2021-06-15,Lady Janice,Courtney Thomas,100,2021,6,166,24
213,-67.0045,43.61616667,2021-06-15,Sealife II,Lerman D'Eon,50,2021,6,166,24
214,-66.78583333,43.58883333,2021-06-16,Morning Star,Lisa Houston,400,2021,6,167,24
215,-66.847,43.5625,2021-06-16,Sealife II,Lerman D'Eon,100,2021,6,167,24
216,-66.78353333,43.58328333,2021-06-17,Lady Janice,Courtney Thomas,150,2021,6,168,24
217,-66.78375,43.5883,2021-06-17,Morning Star,Lisa Houston,350,2021,6,168,24
218,-66.79283333,43.59533333,2021-06-17,Sealife II,Lerman D'Eon,213,2021,6,168,24
219,-66.85216667,43.515,2021-06-20,Lady Melissa,Darren Kelly,49,2021,6,171,25
220,-64.92916667,45.28506667,2021-06-20,Morning Star,Lisa Houston,400,2021,6,171,25
221,-65.1205,45.117,2021-06-20,Sealife II,Lerman D'Eon,287,2021,6,171,25
222,-66.8665,43.48316667,2021-06-21,Lady Melissa,Darren Kelly,146,2021,6,172,25
223,-67.00046667,43.00803333,2021-06-23,Lady Janice,Courtney Thomas,150,2021,6,174,25
224,-67.03851667,43.8264,2021-06-24,Lady Janice,Courtney Thomas,150,2021,6,175,25
225,-67.04505,43.78783333,2021-06-24,Lady Janice,Courtney Thomas,100,2021,6,175,25
226,-67.02711667,43.85333333,2021-06-25,Lady Janice,Courtney Thomas,150,2021,6,176,26
227,-67.05215,43.78941667,2021-06-28,Morning Star,Lisa Houston,350,2021,6,179,26
228,-67.0615,43.78783333,2021-06-28,Sealife II,Lerman D'Eon,194,2021,6,179,26
229,-67.03936667,43.80518333,2021-06-29,Lady Janice,Courtney Thomas,150,2021,6,180,26
230,-67.06528333,43.7956,2021-06-29,Lady Janice,Courtney Thomas,100,2021,6,180,26
231,-67.08161667,43.80346667,2021-06-29,Lady Janice,Courtney Thomas,100,2021,6,180,26
232,-67.0495,43.78083333,2021-06-30,Sealife II,Lerman D'Eon,92,2021,6,181,26
233,-66.48716667,43.88933333,2021-07-01,Sealife II,Lerman D'Eon,300,2021,7,182,26
234,-66.9712,44.28425,2021-07-05,Morning Star,Lisa Houston,300,2021,7,186,27
235,-66.97301667,44.2862,2021-07-05,Morning Star,Lisa Houston,300,2021,7,186,27
236,-66.98816667,44.28183333,2021-07-05,Lady Melissa,Darren Kelly,130,2021,7,186,27
237,-66.993,44.2815,2021-07-05,Lady Melissa,Darren Kelly,98,2021,7,186,27
238,-67.001,44.27016667,2021-07-05,Sealife II,Lerman D'Eon,250,2021,7,186,27
239,-67.01385,44.28165,2021-07-05,Lady Janice,Courtney Thomas,250,2021,7,186,27
240,-66.95933333,44.29533333,2021-07-06,Sealife II,Lerman D'Eon,231,2021,7,187,27
241,-66.97541667,44.28933333,2021-07-06,Lady Janice,Courtney Thomas,199,2021,7,187,27
242,-66.99936667,44.26341667,2021-07-06,Morning Star,Lisa Houston,400,2021,7,187,27
243,-66.99983333,44.266,2021-07-06,Sealife II,Lerman D'Eon,150,2021,7,187,27
244,-67.0098,44.24886667,2021-07-06,Lady Janice,Courtney Thomas,150,2021,7,187,27
245,-66.96261667,44.29568333,2021-07-07,Morning Star,Lisa Houston,250,2021,7,188,27
246,-66.96683333,44.30166667,2021-07-07,Sealife II,Lerman D'Eon,269,2021,7,188,27
247,-66.97131667,44.28893333,2021-07-07,Lady Janice,Courtney Thomas,200,2021,7,188,27
248,-66.99981667,44.27703333,2021-07-07,Morning Star,Lisa Houston,300,2021,7,188,27
249,-66.6845,44.16666667,2021-07-08,Sealife II,Lerman D'Eon,150,2021,7,189,27
250,-67.03438333,44.27461667,2021-07-08,Lady Janice,Courtney Thomas,200,2021,7,189,27
251,-66.96413333,44.29266667,2021-07-11,Lady Janice,Courtney Thomas,200,2021,7,192,28
252,-66.78611667,44.37793333,2021-07-12,Lady Janice,Courtney Thomas,200,2021,7,193,28
253,-66.98866667,44.26713333,2021-07-12,Lady Janice,Courtney Thomas,200,2021,7,193,28
254,-65.959,43.0655,2021-07-13,Sealife II,Lerman D'Eon,350,2021,7,194,28
255,-66.7497,44.39538333,2021-07-13,Lady Janice,Courtney Thomas,200,2021,7,194,28
256,-66.0755,43.12866667,2021-07-14,Sealife II,Lerman D'Eon,100,2021,7,195,28
257,-66.73486667,44.42023333,2021-07-14,Morning Star,Lisa Houston,301,2021,7,195,28
258,-66.74158333,44.42828333,2021-07-14,Lady Janice,Courtney Thomas,200,2021,7,195,28
259,-66.33505,44.36968333,2021-07-15,Lady Janice,Courtney Thomas,100,2021,7,196,28
260,-66.37411667,44.34526667,2021-07-15,Morning Star,Lisa Houston,300,2021,7,196,28
261,-66.72766667,44.40596667,2021-07-15,Morning Star,Lisa Houston,300,2021,7,196,28
262,-66.38091667,44.33335,2021-07-16,Morning Star,Lisa Houston,250,2021,7,197,29
263,-64.85283333,45.29666667,2021-07-18,Sealife II,Lerman D'Eon,317,2021,7,199,29
264,-64.864,45.30021667,2021-07-18,Lady Janice,Courtney Thomas,100,2021,7,199,29
265,-64.88323333,45.30111667,2021-07-18,Lady Melissa,Darren Kelly,114,2021,7,199,29
266,-64.92868333,45.29146667,2021-07-18,Lady Janice,Courtney Thomas,200,2021,7,199,29
267,-64.95966667,45.28916667,2021-07-18,Sealife II,Lerman D'Eon,181,2021,7,199,29
268,-64.00923333,44.00306667,2021-07-19,Sealife II,Lerman D'Eon,83,2021,7,200,29
269,-64.87648333,45.30498333,2021-07-19,Lady Janice,Courtney Thomas,250,2021,7,200,29
270,-66.62083333,44.21066667,2021-07-21,Sealife II,Lerman D'Eon,600,2021,7,202,29
271,-66.487,44.0845,2021-07-22,Sealife II,Lerman D'Eon,436,2021,7,203,29
272,-66.48783333,44.31936667,2021-07-22,Lady Janice,Courtney Thomas,150,2021,7,203,29
273,-66.56741667,44.2539,2021-07-22,Lady Janice,Courtney Thomas,150,2021,7,203,29
274,-66.52933333,44.16016667,2021-07-23,Sealife II,Lerman D'Eon,214,2021,7,204,30
275,-66.33883333,44.37133333,2021-07-28,Sealife II,Lerman D'Eon,230,2021,7,209,30
276,-66.5066,43.88896667,2021-07-28,Morning Star,Lisa Houston,200,2021,7,209,30
277,-67.04553333,43.78608333,2021-07-28,Morning Star,Lisa Houston,200,2021,7,209,30
278,-66.51011667,43.88081667,2021-07-29,Morning Star,Lisa Houston,300,2021,7,210,30
279,-66.50516667,43.8885,2021-07-30,Sealife II,Lerman D'Eon,220,2021,7,211,31
280,-64.97916667,45.158,2021-08-02,Sealife II,Lerman D'Eon,136,2021,8,214,31
281,-64.98566667,45.1503,2021-08-02,Lady Janice,Courtney Thomas,150,2021,8,214,31
282,-65.04928333,45.12413333,2021-08-02,Lady Janice,Courtney Thomas,150,2021,8,214,31
283,-65.0594,45.11755,2021-08-02,Lady Melissa,Darren Kelly,57,2021,8,214,31
284,-65.06623333,45.1238,2021-08-02,Morning Star,Lisa Houston,200,2021,8,214,31
285,-65.08136667,45.11375,2021-08-02,Morning Star,Lisa Houston,200,2021,8,214,31
286,-64.99706667,45.15521667,2021-08-03,Morning Star,Lisa Houston,200,2021,8,215,31
287,-65.006,45.14133333,2021-08-03,Sealife II,Lerman D'Eon,164,2021,8,215,31
288,-65.02083333,45.14883333,2021-08-03,Sealife II,Lerman D'Eon,91,2021,8,215,31
289,-65.04676667,45.13086667,2021-08-03,Lady Janice,Courtney Thomas,100,2021,8,215,31
290,-65.01385,45.13773333,2021-08-04,Lady Janice,Courtney Thomas,200,2021,8,216,31
291,-65.07766667,45.10066667,2021-08-04,Sealife II,Lerman D'Eon,159,2021,8,216,31
292,-66.38416667,44.3225,2021-08-09,Sealife II,Lerman D'Eon,284,2021,8,221,32
293,-66.3735,44.3525,2021-08-10,Sealife II,Lerman D'Eon,199,2021,8,222,32
294,-67.00138333,44.27891667,2021-08-11,Lady Janice,Courtney Thomas,150,2021,8,223,32
295,-67.02583333,44.27633333,2021-08-11,Sealife II,Lerman D'Eon,317,2021,8,223,32
296,-65.01928333,45.15155,2021-08-16,Morning Star,Lisa Houston,200,2021,8,228,33
297,-65.05316667,45.132,2021-08-16,Sealife II,Lerman D'Eon,50,2021,8,228,33
298,-65.05951667,45.13598333,2021-08-16,Lady Melissa,Darren Kelly,37,2021,8,228,33
299,-65.08583333,45.12916667,2021-08-16,Sealife II,Lerman D'Eon,51,2021,8,228,33
