,Ground,id,Date,Survey.No,No_jars,Abundance,Lengthmm,category,MinLength,MaxLength,MeanLength,SD,Larv_per_jar,Density,hatchDate,MINspawnDate,MAXspawnDate,Julian,JulianMin,JulianMax,LastLength,Day,Month,Year,Condition,Yolk_sac,Preservative,ARC_Count,ARC_Notes,X,Y,TowTime,AvgTowDepth,MaxTowDepth,CTDTemp,CTDSalinity,Volume,TowID,TowReplicate,TowNo,MeanLengthAdjustment,AdjustedMeanAgeInDays,Lon1,Lat1,Lon2,Lat2
14,SB,SB2021-14,2021-09-26,10,1,23,16.78,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,18.46,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
15,SB,SB2021-14,2021-09-26,10,1,23,16.49,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,18.17,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
16,SB,SB2021-14,2021-09-26,10,1,23,16.1,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,17.78,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
17,SB,SB2021-14,2021-09-26,10,1,23,14.75,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.43,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
18,SB,SB2021-14,2021-09-26,10,1,23,14.55,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.23,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
19,SB,SB2021-14,2021-09-26,10,1,23,17.36,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,19.04,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
20,SB,SB2021-14,2021-09-26,10,1,23,12.76,2,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-09-02,2021-08-12,269,245,224,14.44,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
21,SB,SB2021-14,2021-09-26,10,1,23,14.04,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.72,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
22,SB,SB2021-14,2021-09-26,10,1,23,14.12,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.8,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
23,SB,SB2021-14,2021-09-26,10,1,23,13.61,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.29,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
24,SB,SB2021-14,2021-09-26,10,1,23,13.86,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.54,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
25,SB,SB2021-14,2021-09-26,10,1,23,15.29,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.97,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
26,SB,SB2021-14,2021-09-26,10,1,23,15.27,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.95,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
27,SB,SB2021-14,2021-09-26,10,1,23,13.99,3,12.09,17.36,14.37434783,1.410260537,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.67,26,9,2021,G,NA,4% formalin,130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA,61,TRUE,1,15.25772739,42.7405308,-65.217,45.0506,-65.2,45
28,SB,SB2021-13,2021-09-13,9,1,1,16.15,3,16.15,16.15,16.15,NA,1,NA,2021-09-03,2021-07-30,2021-07-09,256,211,190,20.95,13,9,2021,G,NA,4% formalin,8,NA,-65.198,45.05,11,14.7,22.1,13.187315,32.74179,NA,59,TRUE,2,17.02095,50.08729167,-65.196,45.05,-65.2,45.05
29,SB,SB2021-12,2021-09-13,9,1,1,17.15,3,17.15,17.15,17.15,NA,1,NA,2021-09-03,2021-07-30,2021-07-09,256,211,190,21.95,13,9,2021,G,NA,4% formalin,6,NA,-65.198,45.0495,10,10.6,19.4,13.18567,32.74824,NA,59,TRUE,1,18.01395,54.22479167,-65.2,45.045,-65.196,45.054
30,SB,SB2021-11,2021-08-29,8,1,1,11.62,2,11.62,11.62,11.62,NA,1,0.000397841,2021-08-19,2021-08-05,2021-07-15,241,217,196,20.02,29,8,2021,G,NA,4% formalin,8,NA,-65.21153334,45.05464167,11,12,26,13.200115,32.58369,2513.566619,57,TRUE,2,12.52266,31.34441667,-65.202,45.05701667,-65.22106667,45.05226667
31,SB,SB2021-10,2021-08-29,8,1,2,9.12,2,9.12,11.86,10.49,1.93747258,2,0.000618054,2021-08-19,2021-08-05,2021-07-15,241,217,196,17.52,29,8,2021,G,NA,4% formalin,8,NA,-65.21591667,45.04424167,11,5.9,17,13.233115,32.583115,3235.961647,57,TRUE,1,11.40057,26.66904167,-65.23183333,45.03585,-65.2,45.05263333
32,SB,SB2021-10,2021-08-29,8,1,2,11.86,2,9.12,11.86,10.49,1.93747258,2,0.000618054,2021-08-19,2021-08-05,2021-07-15,241,217,196,20.26,29,8,2021,G,NA,4% formalin,8,NA,-65.21591667,45.04424167,11,5.9,17,13.233115,32.583115,3235.961647,57,TRUE,1,11.40057,26.66904167,-65.23183333,45.03585,-65.2,45.05263333
33,SB,SB2021-09,2021-08-15,7,1,1,9.06,2,9.06,9.06,9.06,NA,1,0.000272877,2021-08-05,2021-07-22,2021-07-01,227,203,182,20.82,15,8,2021,G,NA,4% formalin,7,NA,-65.21095,45.05228334,10,22,31.79,12.805275,32.509265,3664.654174,55,TRUE,1,9.98058,20.75241667,-65.20073333,45.0529,-65.22116667,45.05166667
34,SB,SB2021-07,2021-08-01,6,1,3,12.25,2,9.05,12.25,10.41,1.653118266,3,0.000660581,2021-07-22,2021-07-08,2021-06-17,213,189,168,27.37,1,8,2021,G,NA,4% formalin,183,NA,-65.2515,45.05058334,10,12.2,17.94,12.14254,32.3752,4541.456179,54,TRUE,1,11.32113,26.33804167,-65.1855,45.05266667,-65.3175,45.0485
35,SB,SB2021-07,2021-08-01,6,1,3,9.05,2,9.05,12.25,10.41,1.653118266,3,0.000660581,2021-07-22,2021-07-08,2021-06-17,213,189,168,24.17,1,8,2021,G,NA,4% formalin,183,NA,-65.2515,45.05058334,10,12.2,17.94,12.14254,32.3752,4541.456179,54,TRUE,1,11.32113,26.33804167,-65.1855,45.05266667,-65.3175,45.0485
36,SB,SB2021-07,2021-08-01,6,1,3,9.93,2,9.05,12.25,10.41,1.653118266,3,0.000660581,2021-07-22,2021-07-08,2021-06-17,213,189,168,25.05,1,8,2021,G,NA,4% formalin,183,NA,-65.2515,45.05058334,10,12.2,17.94,12.14254,32.3752,4541.456179,54,TRUE,1,11.32113,26.33804167,-65.1855,45.05266667,-65.3175,45.0485
37,SB,SB2021-02,2021-06-05,2,1,14,9.47,2,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-12,2021-04-21,156,132,111,38.27,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
38,SB,SB2021-02,2021-06-05,2,1,14,7.92,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,36.72,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
39,SB,SB2021-02,2021-06-05,2,1,14,8.04,2,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-12,2021-04-21,156,132,111,36.84,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
40,SB,SB2021-02,2021-06-05,2,1,14,7.74,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,36.54,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
41,SB,SB2021-02,2021-06-05,2,1,14,6.48,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,35.28,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
42,SB,SB2021-02,2021-06-05,2,1,14,9.34,2,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-12,2021-04-21,156,132,111,38.14,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
43,SB,SB2021-02,2021-06-05,2,1,14,8.91,2,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-12,2021-04-21,156,132,111,37.71,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
44,SB,SB2021-02,2021-06-05,2,1,14,7,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,35.8,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
45,SB,SB2021-02,2021-06-05,2,1,14,9.95,2,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-12,2021-04-21,156,132,111,38.75,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
46,SB,SB2021-02,2021-06-05,2,1,14,7.44,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,36.24,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
47,SB,SB2021-02,2021-06-05,2,1,14,6.81,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,35.61,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
48,SB,SB2021-02,2021-06-05,2,1,14,5.8,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,34.6,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
49,SB,SB2021-02,2021-06-05,2,1,14,6.66,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,35.46,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
50,SB,SB2021-02,2021-06-05,2,1,14,6.76,1,5.8,9.95,7.737142857,1.268211512,14,0.003331816,2021-05-26,2021-05-26,2021-05-12,156,146,132,35.56,5,6,2021,G,NA,4% formalin,18,NA,-65.211389,45.0343055,10,2.701314023,4.906376993,8.168201,31.512305,4201.912788,51,TRUE,2,8.666982857,15.27909524,-65.193056,45.049167,-65.229722,45.019444
51,SB,SB2020-14,2020-08-23,7,1,37,5.29,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.51,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
52,SB,SB2020-14,2020-08-23,7,1,37,4.57,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-12.23,23,8,2020,H,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
53,SB,SB2020-14,2020-08-23,7,1,37,4.9,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.9,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
54,SB,SB2020-14,2020-08-23,7,1,37,5.9,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.9,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
55,SB,SB2020-14,2020-08-23,7,1,37,5.6,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.2,23,8,2020,H,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
56,SB,SB2020-14,2020-08-23,7,1,37,6.23,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.57,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
57,SB,SB2020-14,2020-08-23,7,1,37,6.6,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.2,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
58,SB,SB2020-14,2020-08-23,7,1,37,6.83,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-9.97,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
59,SB,SB2020-14,2020-08-23,7,1,37,6.65,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.15,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
60,SB,SB2020-14,2020-08-23,7,1,37,6.15,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.65,23,8,2020,H,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
61,SB,SB2020-14,2020-08-23,7,1,37,5.39,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.41,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
62,SB,SB2020-14,2020-08-23,7,1,37,8.06,2,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-07-30,2020-07-09,236,212,191,-8.74,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
63,SB,SB2020-14,2020-08-23,7,1,37,7.42,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-9.38,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
64,SB,SB2020-14,2020-08-23,7,1,37,6.41,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.39,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
65,SB,SB2020-14,2020-08-23,7,1,37,5.53,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.27,23,8,2020,H,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
66,SB,SB2020-14,2020-08-23,7,1,37,6.31,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.49,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
67,SB,SB2020-14,2020-08-23,7,1,37,6.36,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.44,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
68,SB,SB2020-14,2020-08-23,7,1,37,5.61,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-11.19,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
69,SB,SB2020-14,2020-08-23,7,1,37,6.53,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.27,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
70,SB,SB2020-14,2020-08-23,7,1,37,6.5,1,4.57,8.06,6.324324324,0.810896419,37,NA,2020-08-13,2020-08-13,2020-07-30,236,226,212,-10.3,23,8,2020,G,NA,4% formalin,148,v. soft. Still measurable but pigment required for ID may be lacking,-65.2105,45.0527,15,11.60308719,21.9,13.0737554,32.33734832,NA,47,2,2,7.264054054,9.433558559,-65.204,45.0561,NA,NA
