Ground,Date,Year,Julian,Month,TempSD,Temperature,Biomass,logTemp,logBiomass,SalinitySD,Salinity,mean_temp,total_precip,total_snow,total_rain,spd_max_gust,min_temp,max_temp,heat_deg_days,cool_deg_days,Count
Scots Bay,2019-07-20,2019,203,7,0.025843263552032134,11.158977975882353,4415,2.4122443735375203,8.392763113038061,0.03536095571688165,31.33603625,22.700000000000003,0,0,0,39,15.2,32.4,0,4.699999999999999,4
Scots Bay,2019-08-04,2019,216,8,0.027128850172080075,10.932300695882352,2130,2.3917217737140977,7.6638772587034705,0.03200187205838732,32.13218605294118,19.4,0,0,0,41,12,26.1,0,1.4,4
Scots Bay,2019-08-04,2019,217,8,0.018145744497156883,11.933985095294117,2130,2.479390220171183,7.6638772587034705,0.042209898415096606,31.523314457058824,19.4,0,0,0,41,12,26.1,0,1.4,4
Scots Bay,2019-08-18,2019,230,8,0.010703019848088864,11.75160830882353,11883,2.4639901085700022,9.382864086290027,0.06790827678033366,32.164362849411766,21.25,3.7,3.7,3.7,NA,16.5,25.4,0,3.25,4
Scots Bay,2019-08-18,2019,231,8,0.1333198580201168,13.487479216176471,11883,2.6017617896137586,9.382864086290027,0.8875137568825234,32.491315812941174,21.25,3.7,3.7,3.7,NA,16.5,25.4,0,3.25,4
Scots Bay,2019-09-01,2019,244,9,0.005155657700287165,11.86948871882353,10325,2.47397113430076,9.242323417829233,0.023358391295821644,32.4657844482353,NA,0,0,0,NA,NA,NA,NA,NA,4
Scots Bay,2019-09-01,2019,245,9,0.04125319989784264,11.864590912941177,10325,2.4735584108222963,9.242323417829233,0.07563944310178425,32.37170368941177,NA,0,0,0,NA,NA,NA,NA,NA,4
Scots Bay,2019-09-15,2019,258,9,0.0047758144159100345,12.116124665294118,6412,2.4945371824232248,8.765926513729443,0.023851557607540885,32.48801740882353,16.35,1.4500000000000002,1.4500000000000002,1.4500000000000002,39,11.7,24.6,2,0.35,4
Scots Bay,2019-09-15,2019,259,9,0.05645716895228728,12.713299282941177,6412,2.5426486331792217,8.765926513729443,0.07289054645013154,32.14557871647059,16.35,1.4500000000000002,1.4500000000000002,1.4500000000000002,39,11.7,24.6,2,0.35,4
Scots Bay,2020-06-13,2020,165,6,0.1199235875008245,7.895779617647059,9128,2.0663283911093333,9.119101891541911,0.10244533602006388,30.96082254882353,16.75,0,0,0,NA,10.4,23.3,1.25,0,5
Scots Bay,2020-06-13,2020,166,6,0.04462349844408902,8.445514752852942,9128,2.133635501966758,9.119101891541911,0.030014682813609993,30.785914292352942,16.75,0,0,0,NA,10.4,23.3,1.25,0,5
Scots Bay,2020-06-13,2020,167,6,0.02477758305667238,8.070360223588235,9128,2.0881981186571683,9.119101891541911,0.0325700312479741,30.93495248235294,16.75,0,0,0,NA,10.4,23.3,1.25,0,5
Scots Bay,2020-06-13,2020,168,6,0.027062883032149303,8.424581379705883,9128,2.1311537871352044,9.119101891541911,0.024141520660273533,30.838760249411767,16.75,0,0,0,NA,10.4,23.3,1.25,0,5
Scots Bay,2020-06-27,2020,179,6,0.0913044348619044,9.379018058529413,39615,2.238475072946572,10.586963113399342,0.027356038304507203,31.914141078235293,19.3,0,0,0,NA,12.9,28.6,0.6,1.9,5
Scots Bay,2020-07-11,2020,193,7,0.13082317830418386,10.165198931823529,22213,2.3189700171616656,10.008432982057622,0.06942257057932857,32.26221671470588,21.549999999999997,3.8,3.8,3.8,39,16.8,27.2,0,3.55,2
Scots Bay,2020-07-26,2020,208,7,0.024941709808208184,10.577705502941177,20447,2.3587485317326164,9.925591451443054,0.07888887848475468,32.699099954705886,20.299999999999997,0,0,0,35,15.8,24.6,0,2.3,2
Scots Bay,2020-08-09,2020,221,8,0.01083884837035859,12.197989520588235,40641,2.5012711447648805,10.612532688248846,0.08072770450864898,32.33855665764706,20.049999999999997,0,0,0,35,13.7,30.7,0.05,2.1,3
Scots Bay,2020-08-23,2020,236,8,0.008850512302513868,12.337860220588235,23351,2.512672601544169,10.058395088732475,0.01582306441222933,32.55361603,17.65,0,0,0,NA,9.1,27.6,0.55,0.2,3
Scots Bay,2020-08-23,2020,237,8,0.006146292290920569,13.805665693529411,23351,2.6250790654096194,10.058395088732475,0.01123229311843111,32.11217371235294,17.65,0,0,0,NA,9.1,27.6,0.55,0.2,3
Scots Bay,2020-09-06,2020,250,9,0.03266619636737345,12.879477024117646,17227,2.55563511613428,9.75423319944637,0.04889840839585322,32.622425647647056,14.899999999999999,0,0,0,NA,7.3,23,3.0999999999999996,0,1
Scots Bay,2021-06-05,2021,156,6,0.015321340884152752,8.173096235294118,4699,2.100847813246772,8.455104999102815,0.10097578143830643,31.58201411764706,18,0,0,0,48,10.2,28.5,1.65,1.65,2
Scots Bay,2021-06-19,2021,170,6,0.014742903961300114,9.72735,2876,2.2749415055572166,7.964155718840937,0.01071083566828546,31.899824117647057,16,5.6,5.6,5.6,63,9.5,23,2,0,2
Scots Bay,2021-07-17,2021,198,7,0.07624202162169211,11.549862352941176,1872,2.446673519402518,7.534762657037537,0.036949046661556566,32.29807588235294,21.299999999999997,0,0,0,NA,14.8,27.4,0,3.3,1
Scots Bay,2021-08-01,2021,213,8,0.011656734024946321,12.709559411764706,4078,2.5423544199085306,8.3133619511344,0.016881806764783958,32.360760588235294,16.7,0,0,0,NA,8.4,25,1.3,0,3
Scots Bay,2021-08-15,2021,227,8,0.026007683603448982,13.034927647058824,4130,2.567632496703303,8.326032685955079,0.025962864608531623,32.51479647058824,19.75,0,0,0,40,14.2,26.1,0,1.75,3
Scots Bay,2021-08-29,2021,241,8,0.02278276915587703,13.28027588235294,3164,2.5862799181060705,8.059592328887545,0.03127978657421381,32.5560605882353,14.8,0,0,0,NA,6.2,22.6,3.2,0,3
Scots Bay,2021-09-13,2021,256,9,0.009577264782442328,13.194054117647058,37144,2.579766282478417,10.522557529699757,0.02834908907420008,32.71522176470588,16.25,1.9,1.9,1.9,NA,12.2,21.6,1.75,0,1
