"","Ground","Date","Year","id","TowReplicate","TowID","Survey.No","Abundance","Density","Volume","Preservative","MeanLengthAdjustment","AdjustedMeanAgeInDays","AdjustedMinDateOfSpawn","AdjustedMaxDateOfSpawn","Lon1","Lat1","Lon2","Lat2","TowTime","AvgTowDepth","MaxTowDepth","CTDAvgTemp"
"12","SB",2020-08-23,"2020","SB2020-13",TRUE,47,"7",111,NA,NA,"4% formalin",7.21037837837838,9.20990990990991,18466.5092083333,18483.1419583333,-65.217,45.0493,-65.209,45.0556,10,7.166429793,8.9,12.33486
"13","SB",2019-07-06,"2019","SB2019-06",TRUE,30,"3",12,0.0427757554895753,280.5327425,"70% alcohol",8.7728425,15.7201770833333,18032.0678333333,18068.0427083333,-65.2183,45.0483,-65.24,45.0433,21,NA,NA,NA
"14","SI",2019-10-13,"2019","SI2019-01",TRUE,40,"5",25,0.000420751030933138,59417.56089,"4% formalin",8.038644375,12.6610182291667,18137.0973333333,18170.6938333333,-66.08818333,43.50988333,-66.08601667,43.5013,5,NA,NA,NA
"15","SB",2020-08-23,"2020","SB2020-14",TRUE,47,"7",111,NA,NA,"4% formalin",7.26405405405405,9.43355855855856,18466.3850833333,18480.8249583333,-65.204,45.0561,NA,NA,15,11.60308719,21.9,NA
"16","SB",2019-09-15,"2019","SB2019-12",TRUE,37,"8",92,NA,NA,"4% formalin",8.00486464285714,12.5202693452381,18111.2622083333,18137.7008333333,-65.2,45.05,-65.202,45.0562,10,15.288,28.522,NA
"17","GB",2021-10-18,"2021","GB2021-10",TRUE,63,"5",29,NA,NA,"4% formalin",8.754225,15.6426041666667,18881.7860833333,18900.7358333333,-66.35,43.56,-66.35,43.57,10,25.7,31.9,NA
"18","SB",2021-06-05,"2021","SB2021-02",TRUE,51,"2",14,0.00333181593867959,4201.912788,"4% formalin",8.66698285714286,15.2790952380952,18744.5652083333,18761.7358333333,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178
"19","GB",2021-10-18,"2021","GB2021-09",TRUE,63,"5",29,NA,NA,"4% formalin",9.60229428571429,19.1762261904762,18880.2965833333,18899.2463333333,-66.352,43.57,-66.352,43.56,11,15,25.3,NA
"20","SB",2017-08-13,"2017","SB2017-04",FALSE,6,"5",25,0.0641674952568273,389.6053586,"4% formalin",13.192935,34.1372291666667,17301.1567708333,17366.8395833333,-65.2333,45.2533,-65.21,45.17333333,10,1,4,11.769
"21","SB",2017-07-29,"2017","SB2017-03",FALSE,5,"4",25,NA,63.31614713,"4% formalin",18.902685,57.9278541666667,17257.1942708333,17351.3223958333,NA,NA,-64.9216,45.1943,10,19,37,NA
"22","SB",2017-09-08,"2017","SB2017-06",FALSE,10,"7",192,NA,NA,"4% formalin",10.988345703125,24.9514404296875,17319.9161458333,17391.2880208333,-65.235,45.0583,NA,NA,10,NA,NA,NA
"23","SB",2018-08-05,"2018","SB2018-07",FALSE,20,"5",59,NA,4670.452277,"4% formalin",9.45287142857143,18.553630952381,17709.3583333333,17721.7708333333,-65.2167,45.05,-65.2104,45.0562,10,2,5,13.035
"24","SB",2017-08-26,"2017","SB2017-05",FALSE,8,"6",16,NA,NA,"4% formalin",10.836421875,24.3184244791667,17316.2255208333,17377.2536458333,-65.26166667,45.09333333,NA,NA,10,NA,NA,NA
"25","SB",2017-07-15,"2017","SB2017-02",FALSE,4,"3",21,NA,NA,"4% formalin",10.6716607142857,23.6319196428571,17308.8770833333,17334.2192708333,-65.2667,45.094583,NA,NA,NA,NA,NA,NA
"26","SB",2019-06-08,"2019","SB2019-01",TRUE,28,"1",6,NA,3447.015471,"70% alcohol",10.802765,24.1781875,18007.4469166667,18026.3615416667,-65.302,45.2281,-65.302,45.2281,10,NA,5.75,NA
"27","SB",2018-07-21,"2018","SB2018-06",FALSE,19,"4",3,NA,3729.996438,"70% alcohol",10.4384833333333,22.6603472222222,17690.433125,17704.031875,-65.229,45.0483,-65.2082,45.0567,8,7,14,11.615
"28","GB",2021-10-03,"2021","GB2021-07",TRUE,62,"4",4,NA,NA,"4% formalin",9.6255825,19.2732604166667,18872.3717083333,18875.2679583333,-66.52,43.57,-66.356,43.56,10,16.8,31.2,13.15
"29","SB",2021-08-01,"2021","SB2021-07",TRUE,54,"6",3,0.000660581073945446,4541.456179,"4% formalin",11.32113,26.3380416666667,18792.0489583333,18805.2889583333,-65.1855,45.05266667,-65.3175,45.0485,10,12.2,17.94,12.24
"30","SB",2021-08-15,"2021","SB2021-09",TRUE,55,"7",1,0.000272877044468426,3664.654174,"4% formalin",9.98058,20.7524166666667,18819.2475833333,18819.2475833333,-65.20073333,45.0529,-65.22116667,45.05166667,10,22,31.79,12.88
"31","SB",2021-08-29,"2021","SB2021-10",TRUE,57,"8",3,0.000927081445103419,3235.961647,"4% formalin",11.40057,26.6690416666667,18821.6625833333,18832.9993333333,-65.23183333,45.03585,-65.2,45.05263333,11,5.9,17,13.19
"32","SB",2021-08-29,"2021","SB2021-11",TRUE,57,"8",3,0.00119352317035206,2513.566619,"4% formalin",12.52266,31.3444166666667,18822.6555833333,18822.6555833333,-65.202,45.05701667,-65.22106667,45.05226667,11,12,26,13.19
"33","SB",2021-09-26,"2021","SB2021-14",TRUE,61,"10",27,NA,NA,"4% formalin",15.2577273913043,42.7405307971014,18826.9063333333,18848.7109583333,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA
"34","SB",2021-09-26,"2021","SB2021-15",TRUE,61,"10",27,NA,NA,"4% formalin",17.1574875,50.6561979166667,18823.0998333333,18838.2430833333,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA
"35","SB",2021-09-13,"2021","SB2021-13",TRUE,59,"9",2,NA,NA,"4% formalin",17.02095,50.0872916666667,18818.9127083333,18818.9127083333,-65.196,45.05,-65.2,45.05,11,14.7,22.1,13.19
"36","SB",2019-08-04,"2019","SB2019-08",TRUE,32,"5",1,6.78453295556692e-05,14739.4081,"70% alcohol",17.1472,50.6133333333333,18047.3866666667,18047.3866666667,-66.2,45.05,-66.2028,45.0565,10,NA,NA,10.93
"37","SB",2021-09-13,"2021","SB2021-12",TRUE,59,"9",2,NA,NA,"4% formalin",18.01395,54.2247916666667,18814.7752083333,18814.7752083333,-65.2,45.045,-65.196,45.054,10,10.6,19.4,13.19
