"","Ground","id","Date","Julian","Day","Month","Year","Survey.No","No_jars","Abundance","Lengthmm","LengthAdjustment","category","MinLength","MaxLength","MeanLength","SD","Larv_per_jar","Density","AgeInDays","MeanAgeInDays","hatchDate","SpawnDate","JulianSpawnDate","Condition","Yolk_sac","Preservative","ARC_Count","ARC_Notes","Lon1","Lat1","Lon2","Lat2","TowTime","AvgTowDepth","MaxTowDepth","CTDAvgTemp","Volume"
"11","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,12.09,12.98937,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,33.2890416666667,43.9132222222222,2021-08-23,2021-08-09,221,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"12","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.48,15.36264,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,43.1776666666667,43.9132222222222,2021-08-13,2021-07-30,211,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"13","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,13.74,14.62782,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,40.1159166666667,43.9132222222222,2021-08-16,2021-08-02,214,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"14","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,16.78,17.64654,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,52.6939166666667,43.9132222222222,2021-08-04,2021-07-21,202,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"15","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,16.49,17.35857,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,51.4940416666667,43.9132222222222,2021-08-05,2021-07-22,203,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"16","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,16.1,16.9713,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,49.8804166666667,43.9132222222222,2021-08-07,2021-07-24,205,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"17","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.75,15.63075,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,44.2947916666667,43.9132222222222,2021-08-12,2021-07-29,210,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"18","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.55,15.43215,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,43.4672916666667,43.9132222222222,2021-08-13,2021-07-30,211,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"19","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,17.36,18.22248,"4",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,55.0936666666667,43.9132222222222,2021-08-01,2021-07-18,199,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"20","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,12.76,13.65468,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,36.0611666666667,43.9132222222222,2021-08-20,2021-08-06,218,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"21","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.04,14.92572,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,41.3571666666667,43.9132222222222,2021-08-15,2021-08-01,213,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"22","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.12,15.00516,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,41.6881666666667,43.9132222222222,2021-08-15,2021-08-01,213,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"23","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,13.61,14.49873,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,39.5780416666667,43.9132222222222,2021-08-17,2021-08-03,215,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"24","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,13.86,14.74698,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,40.6124166666667,43.9132222222222,2021-08-16,2021-08-02,214,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"25","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,15.29,16.16697,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,46.5290416666667,43.9132222222222,2021-08-10,2021-07-27,208,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"26","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,15.27,16.14711,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,46.4462916666667,43.9132222222222,2021-08-10,2021-07-27,208,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"27","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,13.99,14.87607,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,41.1502916666667,43.9132222222222,2021-08-15,2021-08-01,213,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"28","SB","SB2021-13",2021-09-13,256,13,9,"2021","9",1,2,16.15,17.02095,"3",17.02095,18.01395,17.51745,0.702157033718243,2,NA,50.0872916666667,52.1560416666667,2021-07-24,2021-07-10,191,"G",NA,"4% formalin",8,NA,-65.196,45.05,-65.2,45.05,11,14.7,22.1,13.19,NA
"29","SB","SB2021-12",2021-09-13,256,13,9,"2021","9",1,2,17.15,18.01395,"4",17.02095,18.01395,17.51745,0.702157033718243,2,NA,54.2247916666667,52.1560416666667,2021-07-20,2021-07-06,187,"G",NA,"4% formalin",6,NA,-65.2,45.045,-65.196,45.054,10,10.6,19.4,13.19,NA
"30","SB","SB2021-11",2021-08-29,241,29,8,"2021","8",1,3,11.62,12.52266,"2",10.04016,12.76098,11.7746,1.50678820369686,3,0.00119352317035206,31.3444166666667,28.2275,2021-07-28,2021-07-14,195,"G",NA,"4% formalin",8,NA,-65.202,45.05701667,-65.22106667,45.05226667,11,12,26,13.19,2513.566619
"31","SB","SB2021-10",2021-08-29,241,29,8,"2021","8",1,3,9.12,10.04016,"2",10.04016,12.76098,11.7746,1.50678820369686,3,0.000927081445103419,21.0006666666667,28.2275,2021-08-07,2021-07-24,205,"G",NA,"4% formalin",8,NA,-65.23183333,45.03585,-65.2,45.05263333,11,5.9,17,13.19,3235.961647
"32","SB","SB2021-10",2021-08-29,241,29,8,"2021","8",1,3,11.86,12.76098,"2",10.04016,12.76098,11.7746,1.50678820369686,3,0.000927081445103419,32.3374166666667,28.2275,2021-07-27,2021-07-13,194,"G",NA,"4% formalin",8,NA,-65.23183333,45.03585,-65.2,45.05263333,11,5.9,17,13.19,3235.961647
"33","SB","SB2021-09",2021-08-15,227,15,8,"2021","7",1,1,9.06,9.98058,"2",9.98058,9.98058,9.98058,NA,1,0.000272877044468426,20.7524166666667,20.7524166666667,2021-07-25,2021-07-11,192,"G",NA,"4% formalin",7,NA,-65.20073333,45.0529,-65.22116667,45.05166667,10,22,31.79,12.88,3664.654174
"34","SB","SB2021-07",2021-08-01,213,1,8,"2021","6",1,3,12.25,13.14825,"3",9.97065,13.14825,11.32113,1.64154643772267,3,0.000660581073945446,33.9510416666667,26.3380416666667,2021-06-28,2021-06-14,165,"G",NA,"4% formalin",183,NA,-65.1855,45.05266667,-65.3175,45.0485,10,12.2,17.94,12.24,4541.456179
"35","SB","SB2021-07",2021-08-01,213,1,8,"2021","6",1,3,9.05,9.97065,"2",9.97065,13.14825,11.32113,1.64154643772267,3,0.000660581073945446,20.7110416666667,26.3380416666667,2021-07-11,2021-06-27,178,"G",NA,"4% formalin",183,NA,-65.1855,45.05266667,-65.3175,45.0485,10,12.2,17.94,12.24,4541.456179
"36","SB","SB2021-07",2021-08-01,213,1,8,"2021","6",1,3,9.93,10.84449,"2",9.97065,13.14825,11.32113,1.64154643772267,3,0.000660581073945446,24.3520416666667,26.3380416666667,2021-07-07,2021-06-23,174,"G",NA,"4% formalin",183,NA,-65.1855,45.05266667,-65.3175,45.0485,10,12.2,17.94,12.24,4541.456179
"37","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,9.47,10.38771,"2",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,22.4487916666667,15.2790952380952,2021-05-13,2021-04-29,119,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"38","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,7.92,8.84856,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,16.0356666666667,15.2790952380952,2021-05-19,2021-05-05,125,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"39","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,8.04,8.96772,"2",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,16.5321666666667,15.2790952380952,2021-05-19,2021-05-05,125,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"40","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,7.74,8.66982,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,15.2909166666667,15.2790952380952,2021-05-20,2021-05-06,126,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"41","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,6.48,7.41864,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,10.0776666666667,15.2790952380952,2021-05-25,2021-05-11,131,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"42","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,9.34,10.25862,"2",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,21.9109166666667,15.2790952380952,2021-05-14,2021-04-30,120,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"43","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,8.91,9.83163,"2",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,20.1317916666667,15.2790952380952,2021-05-15,2021-05-01,121,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"44","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,7,7.935,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,12.2291666666667,15.2790952380952,2021-05-23,2021-05-09,129,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"45","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,9.95,10.86435,"2",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,24.4347916666667,15.2790952380952,2021-05-11,2021-04-27,117,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"46","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,7.44,8.37192,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,14.0496666666667,15.2790952380952,2021-05-21,2021-05-07,127,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"47","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,6.81,7.74633,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,11.4430416666667,15.2790952380952,2021-05-24,2021-05-10,130,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"48","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,5.8,6.7434,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,7.26416666666666,15.2790952380952,2021-05-28,2021-05-14,134,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"49","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,6.66,7.59738,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,10.8224166666667,15.2790952380952,2021-05-25,2021-05-11,131,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"50","SB","SB2021-02",2021-06-05,156,5,6,"2021","2",1,14,6.76,7.69668,"1",6.7434,10.86435,8.66698285714286,1.25933403156912,14,0.00333181593867959,11.2361666666667,15.2790952380952,2021-05-24,2021-05-10,130,"G",NA,"4% formalin",18,NA,-65.193056,45.049167,-65.229722,45.019444,10,2.701314023,4.906376993,7.97178,4201.912788
"51","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.29,6.23697,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,5.15404166666667,9.28445945945946,2020-08-17,2020-08-03,216,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"52","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,4.57,5.52201,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,2.17504166666667,9.28445945945946,2020-08-20,2020-08-06,219,"H",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"53","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,4.9,5.8497,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,3.54041666666667,9.28445945945946,2020-08-19,2020-08-05,218,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"54","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.9,6.8427,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,7.67791666666667,9.28445945945946,2020-08-15,2020-08-01,214,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"55","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.6,6.5448,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,6.43666666666666,9.28445945945946,2020-08-16,2020-08-02,215,"H",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"56","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.23,7.17039,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.04329166666667,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"57","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.6,7.5378,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,10.5741666666667,9.28445945945946,2020-08-12,2020-07-29,211,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"58","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.83,7.76619,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,11.5257916666667,9.28445945945946,2020-08-11,2020-07-28,210,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"59","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.65,7.58745,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,10.7810416666667,9.28445945945946,2020-08-12,2020-07-29,211,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"60","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.15,7.09095,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,8.71229166666667,9.28445945945946,2020-08-14,2020-07-31,213,"H",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"61","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.39,6.33627,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,5.56779166666667,9.28445945945946,2020-08-17,2020-08-03,216,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"62","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,8.06,8.98758,"2",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,16.6149166666667,9.28445945945946,2020-08-06,2020-07-23,205,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"63","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,7.42,8.35206,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,13.9669166666667,9.28445945945946,2020-08-09,2020-07-26,208,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"64","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.41,7.34913,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.78804166666667,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"65","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.53,6.47529,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,6.14704166666667,9.28445945945946,2020-08-16,2020-08-02,215,"H",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"66","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.31,7.24983,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.37429166666666,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"67","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.36,7.29948,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.58116666666667,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"68","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,5.61,6.55473,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,6.47804166666667,9.28445945945946,2020-08-16,2020-08-02,215,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"69","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.53,7.46829,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,10.2845416666667,9.28445945945946,2020-08-12,2020-07-29,211,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"70","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.5,7.4385,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,10.1604166666667,9.28445945945946,2020-08-12,2020-07-29,211,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"71","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.04,6.98172,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,8.25716666666667,9.28445945945946,2020-08-14,2020-07-31,213,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"72","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.38,7.31934,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.66391666666667,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"73","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.21,7.15053,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,8.96054166666667,9.28445945945946,2020-08-14,2020-07-31,213,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"74","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,7.41,8.34213,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,13.9255416666667,9.28445945945946,2020-08-09,2020-07-26,208,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"75","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.27,7.21011,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.20879166666666,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
"76","SB","SB2020-14",2020-08-23,236,23,8,"2020","7",1,111,6.37,7.30941,"1",4.96593,8.98758,7.22827027027027,0.77425393756648,111,NA,9.62254166666667,9.28445945945946,2020-08-13,2020-07-30,212,"G",NA,"4% formalin",148,"v. soft. Still measurable but pigment required for ID may be lacking",-65.204,45.0561,-65.217,45.0493,15,11.60308719,21.9,12.33486,NA
